time	V(vin)	V(vout)
8.703600569459531e-004	2.182593e+001	2.029409e+000
8.803600569459531e-004	2.182393e+001	2.029407e+000
8.903600569459531e-004	2.182193e+001	2.029406e+000
9.003600569459532e-004	2.181993e+001	2.029404e+000
9.103600569459532e-004	2.181793e+001	2.029402e+000
9.203600569459532e-004	2.181593e+001	2.029401e+000
9.303600569459533e-004	2.181393e+001	2.029399e+000
9.403600569459533e-004	2.181193e+001	2.029397e+000
9.503600569459533e-004	2.180993e+001	2.029396e+000
9.603600569459533e-004	2.180793e+001	2.029394e+000
9.703600569459534e-004	2.180593e+001	2.029392e+000
9.803600569459534e-004	2.180393e+001	2.029391e+000
9.903600569459534e-004	2.180193e+001	2.029389e+000
1.000360056945953e-003	2.179993e+001	2.029387e+000
1.010360056945954e-003	2.179793e+001	2.029386e+000
1.020360056945954e-003	2.179593e+001	2.029384e+000
1.030360056945954e-003	2.179393e+001	2.029382e+000
1.040360056945954e-003	2.179193e+001	2.029380e+000
1.050360056945954e-003	2.178993e+001	2.029379e+000
1.060360056945954e-003	2.178793e+001	2.029377e+000
1.070360056945954e-003	2.178593e+001	2.029375e+000
1.080360056945954e-003	2.178393e+001	2.029374e+000
1.090360056945954e-003	2.178193e+001	2.029372e+000
1.100360056945954e-003	2.177993e+001	2.029370e+000
1.110360056945954e-003	2.177793e+001	2.029369e+000
1.120360056945954e-003	2.177593e+001	2.029367e+000
1.130360056945954e-003	2.177393e+001	2.029365e+000
1.140360056945954e-003	2.177193e+001	2.029364e+000
1.150360056945954e-003	2.176993e+001	2.029362e+000
1.160360056945954e-003	2.176793e+001	2.029360e+000
1.170360056945954e-003	2.176593e+001	2.029359e+000
1.180360056945954e-003	2.176393e+001	2.029357e+000
1.190360056945954e-003	2.176193e+001	2.029355e+000
1.200360056945954e-003	2.175993e+001	2.029354e+000
1.210360056945954e-003	2.175793e+001	2.029352e+000
1.220360056945954e-003	2.175593e+001	2.029350e+000
1.230360056945954e-003	2.175393e+001	2.029349e+000
1.240360056945954e-003	2.175193e+001	2.029347e+000
1.250360056945954e-003	2.174993e+001	2.029345e+000
1.260360056945954e-003	2.174793e+001	2.029344e+000
1.270360056945954e-003	2.174593e+001	2.029342e+000
1.280360056945954e-003	2.174393e+001	2.029340e+000
1.290360056945954e-003	2.174193e+001	2.029338e+000
1.300360056945954e-003	2.173993e+001	2.029337e+000
1.310360056945954e-003	2.173793e+001	2.029335e+000
1.320360056945954e-003	2.173593e+001	2.029333e+000
1.330360056945954e-003	2.173393e+001	2.029332e+000
1.340360056945954e-003	2.173193e+001	2.029330e+000
1.350360056945954e-003	2.172993e+001	2.029328e+000
1.360360056945954e-003	2.172793e+001	2.029327e+000
1.370360056945954e-003	2.172593e+001	2.029325e+000
1.380360056945954e-003	2.172393e+001	2.029323e+000
1.390360056945955e-003	2.172193e+001	2.029322e+000
1.400360056945955e-003	2.171993e+001	2.029320e+000
1.410360056945955e-003	2.171793e+001	2.029318e+000
