rl	V(vout)	-I(Rl)
1.980000000100002e+000	2.007074e+000	1.013674e+000
1.990000000100002e+000	2.007075e+000	1.008580e+000
2.000000000100001e+000	2.007075e+000	1.003537e+000
2.010000000100001e+000	2.007075e+000	9.985449e-001
2.020000000100001e+000	2.007075e+000	9.936014e-001
2.030000000100001e+000	2.007076e+000	9.887074e-001
2.040000000100001e+000	2.007076e+000	9.838610e-001
2.050000000100000e+000	2.007077e+000	9.790618e-001
2.060000000100000e+000	2.007077e+000	9.743092e-001
2.070000000100000e+000	2.007077e+000	9.696026e-001
2.080000000100000e+000	2.007078e+000	9.649411e-001
2.090000000099999e+000	2.007078e+000	9.603244e-001
2.100000000099999e+000	2.007078e+000	9.557515e-001
2.110000000099999e+000	2.007079e+000	9.512221e-001
2.120000000099999e+000	2.007079e+000	9.467353e-001
2.130000000099999e+000	2.007079e+000	9.422907e-001
2.140000000099998e+000	2.007079e+000	9.378876e-001
2.150000000099998e+000	2.007080e+000	9.335254e-001
2.160000000099998e+000	2.007080e+000	9.292037e-001
2.170000000099998e+000	2.007080e+000	9.249218e-001
2.180000000099998e+000	2.007081e+000	9.206792e-001
2.190000000099997e+000	2.007081e+000	9.164753e-001
2.200000000099997e+000	2.007081e+000	9.123096e-001
2.210000000099997e+000	2.007082e+000	9.081816e-001
2.220000000099997e+000	2.007082e+000	9.040908e-001
2.230000000099996e+000	2.007082e+000	9.000368e-001
2.240000000099996e+000	2.007082e+000	8.960188e-001
2.250000000099996e+000	2.007082e+000	8.920366e-001
2.260000000099996e+000	2.007083e+000	8.880897e-001
2.270000000099996e+000	2.007083e+000	8.841775e-001
2.280000000099995e+000	2.007080e+000	8.802983e-001
2.290000000099995e+000	2.007083e+000	8.764557e-001
2.300000000099995e+000	2.007084e+000	8.726451e-001
2.310000000099995e+000	2.007084e+000	8.688673e-001
2.320000000099995e+000	2.007084e+000	8.651225e-001
2.330000000099994e+000	2.007084e+000	8.614096e-001
2.340000000099994e+000	2.007085e+000	8.577285e-001
2.350000000099994e+000	2.007085e+000	8.540787e-001
2.360000000099994e+000	2.007085e+000	8.504598e-001
2.370000000099994e+000	2.007085e+000	8.468714e-001
2.380000000099993e+000	2.007086e+000	8.433133e-001
2.390000000099993e+000	2.007086e+000	8.397849e-001
2.400000000099993e+000	2.007026e+000	8.362607e-001
2.410000000099993e+000	2.007086e+000	8.328159e-001
2.420000000099992e+000	2.007087e+000	8.293746e-001
2.430000000099992e+000	2.007087e+000	8.259616e-001
2.440000000099992e+000	2.007087e+000	8.225766e-001
2.450000000099992e+000	2.007087e+000	8.192192e-001
2.460000000099992e+000	2.007087e+000	8.158891e-001
2.470000000099991e+000	2.007087e+000	8.125860e-001
