Freq.	V(vout)/-I(Vp)
3.60135643564357e+002	3.88228724369916e-001,-1.40783161117413e+001
3.70136633663367e+002	3.77194320528035e-001,-1.36981146002878e+001
3.80137623762376e+002	3.67019021832951e-001,-1.33379073364306e+001
3.90138613861386e+002	3.57615902408302e-001,-1.29961578752172e+001
4.00139603960396e+002	3.48908757893784e-001,-1.26714832358912e+001
4.10140594059406e+002	3.40830556964869e-001,-1.23626352112998e+001
4.20141584158416e+002	3.33322147553055e-001,-1.20684843435467e+001
4.30142574257426e+002	3.26331171090550e-001,-1.17880061325145e+001
4.40143564356436e+002	3.19811147293416e-001,-1.15202691225732e+001
4.50144554455446e+002	3.13720699772374e-001,-1.12644245756985e+001
4.60145544554456e+002	3.08022897898535e-001,-1.10196974899699e+001
4.70146534653466e+002	3.02684695762043e-001,-1.07853787632833e+001
4.80147524752476e+002	2.97676451909933e-001,-1.05608183355185e+001
4.90148514851486e+002	2.92971517016331e-001,-1.03454191695284e+001
5.00149504950496e+002	2.88545885794573e-001,-1.01386319579067e+001
5.10150495049505e+002	2.84377861293012e-001,-9.93995043105201e+000
5.20151485148515e+002	2.80447831899060e-001,-9.74890724695186e+000
5.30152475247525e+002	2.76738011271135e-001,-9.56507030570982e+000
5.40153465346535e+002	2.73232243956891e-001,-9.38803949290868e+000
5.50154455445545e+002	2.69915829151962e-001,-9.21744377406822e+000
5.60155445544555e+002	2.66775366317981e-001,-9.05293860014668e+000
5.70156435643565e+002	2.63798619610659e-001,-8.89420358591798e+000
5.80157425742575e+002	2.60974398449548e-001,-8.74094042833936e+000
5.90158415841584e+002	2.58292452196838e-001,-8.59287103643863e+000
6.00159405940594e+002	2.55743376963943e-001,-8.44973584808076e+000
6.10160396039604e+002	2.53318533076272e-001,-8.31129231217198e+000
6.20161386138614e+002	2.51009964467109e-001,-8.17731351449786e+000
6.30162376237624e+002	2.48810362433108e-001,-8.04758694988940e+000
6.40163366336634e+002	2.46712964008080e-001,-7.92191337876027e+000
6.50164356435644e+002	2.44711528920361e-001,-7.80010581937305e+000
6.60165346534654e+002	2.42800285949389e-001,-7.68198861673067e+000
6.70166336633663e+002	2.40973891174099e-001,-7.56739659776245e+000
6.80167326732673e+002	2.39227390595585e-001,-7.45617430099418e+000
6.90168316831683e+002	2.37556186509771e-001,-7.34817527316629e+000
7.00169306930693e+002	2.35956007150829e-001,-7.24326142611840e+000
7.10170297029703e+002	2.34422879374315e-001,-7.14130244797970e+000
7.20171287128713e+002	2.32953103958487e-001,-7.04217526340686e+000
7.30172277227723e+002	2.31543233241810e-001,-6.94576353816077e+000
7.40173267326732e+002	2.30190050862356e-001,-6.85195722383529e+000
7.50174257425742e+002	2.28890553409257e-001,-6.76065213898362e+000
7.60175247524752e+002	2.27641933707585e-001,-6.67174958330324e+000
7.70176237623762e+002	2.26441565623889e-001,-6.58515598186991e+000
7.80177227722772e+002	2.25286990259057e-001,-6.50078255671923e+000
7.90178217821782e+002	2.24175903298581e-001,-6.41854502337037e+000
8.00179207920792e+002	2.23106143523267e-001,-6.33836331008925e+000
8.10180198019802e+002	2.22075682264002e-001,-6.26016129794619e+000
8.20181188118811e+002	2.21082613768126e-001,-6.18386657988248e+000
8.30182178217821e+002	2.20125146360622e-001,-6.10941023718766e+000
8.40183168316831e+002	2.19201594374208e-001,-6.03672663193191e+000
8.50184158415841e+002	2.18310370664834e-001,-5.96575321405478e+000
8.60185148514851e+002	2.17449987130015e-001,-5.89643034366646e+000
8.70186138613861e+002	2.16619019178316e-001,-5.82870111682646e+000
8.80187128712871e+002	2.15816143781820e-001,-5.76251122060324e+000
8.90188118811880e+002	2.15040104892301e-001,-5.69780878064687e+000
9.00189108910890e+002	2.14289715855858e-001,-5.63454422746481e+000
9.10190099009900e+002	2.13563854833336e-001,-5.57267016982916e+000
9.20191089108910e+002	2.12861460626436e-001,-5.51214127642303e+000
