rl	V(current_feedback)	V(voltage_feedback)	V(vout)	-I(Rl)
1.050000000100001e+000	1.026484e+000	2.414782e-001	2.154632e+000	2.052031e+000
1.060000000100001e+000	1.026474e+000	2.435211e-001	2.175131e+000	2.052011e+000
1.070000000100001e+000	1.026463e+000	2.455640e-001	2.195630e+000	2.051991e+000
1.080000000100001e+000	1.026452e+000	2.476068e-001	2.216129e+000	2.051971e+000
1.090000000100001e+000	1.026442e+000	2.496496e-001	2.236627e+000	2.051951e+000
1.100000000100001e+000	1.026431e+000	2.516924e-001	2.257124e+000	2.051931e+000
1.110000000100001e+000	1.026421e+000	2.537351e-001	2.277622e+000	2.051911e+000
1.120000000100001e+000	1.026410e+000	2.557778e-001	2.298119e+000	2.051892e+000
1.130000000100001e+000	1.026399e+000	2.578205e-001	2.318615e+000	2.051872e+000
1.140000000100001e+000	1.026389e+000	2.598630e-001	2.339111e+000	2.051852e+000
1.150000000100001e+000	1.026378e+000	2.619056e-001	2.359607e+000	2.051832e+000
1.160000000100001e+000	1.026368e+000	2.639481e-001	2.380102e+000	2.051812e+000
1.170000000100001e+000	1.026357e+000	2.659906e-001	2.400597e+000	2.051793e+000
1.180000000100001e+000	1.026346e+000	2.680331e-001	2.421092e+000	2.051773e+000
1.190000000100001e+000	1.026336e+000	2.700755e-001	2.441586e+000	2.051753e+000
1.200000000100001e+000	1.026325e+000	2.721179e-001	2.462080e+000	2.051733e+000
1.210000000100001e+000	1.026315e+000	2.741602e-001	2.482573e+000	2.051713e+000
1.220000000100001e+000	1.026304e+000	2.762025e-001	2.503066e+000	2.051694e+000
1.230000000100001e+000	1.026294e+000	2.782448e-001	2.523559e+000	2.051674e+000
1.240000000100001e+000	1.026283e+000	2.802870e-001	2.544051e+000	2.051654e+000
1.250000000100001e+000	1.026272e+000	2.823292e-001	2.564543e+000	2.051634e+000
1.260000000100001e+000	1.026262e+000	2.843713e-001	2.585034e+000	2.051615e+000
1.270000000100001e+000	1.026251e+000	2.864135e-001	2.605525e+000	2.051595e+000
1.280000000100001e+000	1.026241e+000	2.884555e-001	2.626016e+000	2.051575e+000
1.290000000100001e+000	1.026230e+000	2.904976e-001	2.646507e+000	2.051555e+000
1.300000000100001e+000	1.026220e+000	2.925396e-001	2.666996e+000	2.051536e+000
1.310000000100001e+000	1.026209e+000	2.945815e-001	2.687486e+000	2.051516e+000
1.320000000100001e+000	1.026199e+000	2.966235e-001	2.707975e+000	2.051496e+000
1.330000000100001e+000	1.026188e+000	2.986653e-001	2.728464e+000	2.051477e+000
1.340000000100001e+000	1.026177e+000	3.007072e-001	2.748952e+000	2.051457e+000
1.350000000100001e+000	1.026167e+000	3.027490e-001	2.769440e+000	2.051437e+000
1.360000000100001e+000	1.026156e+000	3.047908e-001	2.789928e+000	2.051418e+000
1.370000000100001e+000	1.026146e+000	3.068325e-001	2.810415e+000	2.051398e+000
1.380000000100001e+000	1.026135e+000	3.088742e-001	2.830902e+000	2.051378e+000
1.390000000100001e+000	1.026125e+000	3.109159e-001	2.851389e+000	2.051359e+000
1.400000000100001e+000	1.026114e+000	3.129575e-001	2.871875e+000	2.051339e+000
1.410000000100001e+000	1.026104e+000	3.149991e-001	2.892360e+000	2.051319e+000
1.420000000100001e+000	1.026093e+000	3.170407e-001	2.912846e+000	2.051300e+000
1.430000000100001e+000	1.026083e+000	3.190821e-001	2.933331e+000	2.051280e+000
