rvadj	V(vout)
3.160000000000100e+003	1.241132e+000
3.170000000000100e+003	1.242055e+000
3.180000000000100e+003	1.242979e+000
3.190000000000100e+003	1.243912e+000
3.200000000000100e+003	1.244825e+000
3.210000000000100e+003	1.245748e+000
3.220000000000100e+003	1.246672e+000
3.230000000000100e+003	1.247595e+000
3.240000000000100e+003	1.248518e+000
3.250000000000100e+003	1.249441e+000
3.260000000000100e+003	1.250365e+000
3.270000000000100e+003	1.251288e+000
3.280000000000100e+003	1.252211e+000
3.290000000000100e+003	1.253134e+000
3.300000000000100e+003	1.254057e+000
3.310000000000100e+003	1.254984e+000
3.320000000000100e+003	1.255904e+000
3.330000000000100e+003	1.256877e+000
3.340000000000100e+003	1.257752e+000
3.350000000000100e+003	1.258674e+000
3.360000000000100e+003	1.259597e+000
3.370000000000100e+003	1.260520e+000
3.380000000000100e+003	1.261443e+000
3.390000000000100e+003	1.262367e+000
3.400000000000100e+003	1.263290e+000
3.410000000000100e+003	1.264213e+000
3.420000000000100e+003	1.265136e+000
3.430000000000100e+003	1.266063e+000
3.440000000000100e+003	1.266983e+000
3.450000000000100e+003	1.267906e+000
3.460000000000100e+003	1.268829e+000
3.470000000000100e+003	1.269752e+000
3.480000000000100e+003	1.270676e+000
3.490000000000100e+003	1.271599e+000
3.500000000000100e+003	1.272522e+000
3.510000000000100e+003	1.273445e+000
3.520000000000100e+003	1.274601e+000
3.530000000000100e+003	1.275292e+000
3.540000000000100e+003	1.276215e+000
3.550000000000100e+003	1.277138e+000
3.560000000000100e+003	1.278061e+000
3.570000000000100e+003	1.278984e+000
3.580000000000100e+003	1.279908e+000
3.590000000000100e+003	1.280831e+000
3.600000000000100e+003	1.281754e+000
3.610000000000100e+003	1.282679e+000
3.620000000000100e+003	1.283600e+000
3.630000000000100e+003	1.284524e+000
3.640000000000100e+003	1.285447e+000
3.650000000000100e+003	1.286370e+000
3.660000000000100e+003	1.287293e+000
3.670000000000100e+003	1.288216e+000
3.680000000000100e+003	1.289140e+000
3.690000000000100e+003	1.290065e+000
3.700000000000100e+003	1.290986e+000
3.710000000000100e+003	1.291932e+000
3.720000000000100e+003	1.292832e+000
3.730000000000100e+003	1.293784e+000
3.740000000000100e+003	1.294679e+000
3.750000000000100e+003	1.295602e+000
3.760000000000100e+003	1.296525e+000
3.770000000000100e+003	1.297448e+000
3.780000000000100e+003	1.298374e+000
3.790000000000100e+003	1.299295e+000
3.800000000000100e+003	1.300232e+000
3.810000000000100e+003	1.301141e+000
3.820000000000100e+003	1.302064e+000
3.830000000000100e+003	1.302987e+000
3.840000000000100e+003	1.303911e+000
3.850000000000100e+003	1.304834e+000
3.860000000000100e+003	1.305757e+000
3.870000000000100e+003	1.307038e+000
3.880000000000100e+003	1.307603e+000
3.890000000000100e+003	1.308527e+000
3.900000000000100e+003	1.309450e+000
3.910000000000100e+003	1.310374e+000
3.920000000000100e+003	1.311297e+000
3.930000000000100e+003	1.312219e+000
3.940000000000100e+003	1.313142e+000
3.950000000000100e+003	1.314066e+000
3.960000000000100e+003	1.314989e+000
3.970000000000100e+003	1.315912e+000
3.980000000000100e+003	1.316835e+000
3.990000000000100e+003	1.317758e+000
4.000000000000100e+003	1.318681e+000
4.010000000000100e+003	1.319605e+000
4.020000000000100e+003	1.320528e+000
4.030000000000100e+003	1.321455e+000
4.040000000000100e+003	1.322374e+000
4.050000000000100e+003	1.323297e+000
4.060000000000100e+003	1.324220e+000
4.070000000000100e+003	1.325183e+000
4.080000000000100e+003	1.326067e+000
4.090000000000100e+003	1.326990e+000
4.100000000000100e+003	1.327919e+000
4.110000000000100e+003	1.328836e+000
4.120000000000100e+003	1.329759e+000
4.130000000000100e+003	1.330683e+000
4.140000000000100e+003	1.331606e+000
4.150000000000100e+003	1.332532e+000
4.160000000000100e+003	1.333452e+000
4.170000000000100e+003	1.334375e+000
4.180000000000100e+003	1.335298e+000
4.190000000000100e+003	1.336221e+000
4.200000000000100e+003	1.337144e+000
4.210000000000100e+003	1.338068e+000
4.220000000000100e+003	1.338991e+000
4.230000000000100e+003	1.339914e+000
4.240000000000100e+003	1.340837e+000
4.250000000000100e+003	1.341762e+000
4.260000000000100e+003	1.342683e+000
4.270000000000100e+003	1.343606e+000
4.280000000000100e+003	1.344530e+000
4.290000000000100e+003	1.345453e+000
4.300000000000100e+003	1.346376e+000
4.310000000000100e+003	1.347299e+000
4.320000000000100e+003	1.348224e+000
4.330000000000100e+003	1.349145e+000
4.340000000000100e+003	1.350068e+000
4.350000000000100e+003	1.350992e+000
4.360000000000100e+003	1.351915e+000
4.370000000000100e+003	1.352838e+000
4.380000000000100e+003	1.353761e+000
4.390000000000100e+003	1.354684e+000
4.400000000000100e+003	1.355607e+000
4.410000000000100e+003	1.356530e+000
4.420000000000100e+003	1.357453e+000
4.430000000000100e+003	1.358377e+000
4.440000000000100e+003	1.359300e+000
4.450000000000100e+003	1.360223e+000
4.460000000000100e+003	1.361146e+000
4.470000000000100e+003	1.362066e+000
4.480000000000100e+003	1.362992e+000
4.490000000000100e+003	1.363915e+000
4.500000000000100e+003	1.364838e+000
4.510000000000100e+003	1.365762e+000
4.520000000000100e+003	1.366685e+000
