Freq.	V(vout)
1.12719745617551e-001	(-3.18948173052230e-002dB,-1.57666647145035e-006°)
1.12979591467279e-001	(-3.18948173052240e-002dB,-1.58030106303648e-006°)
1.13240036323555e-001	(-3.18948173052230e-002dB,-1.58394403322153e-006°)
1.13501081567231e-001	(-3.18948173052240e-002dB,-1.58759540132019e-006°)
1.13762728582343e-001	(-3.18948173052240e-002dB,-1.59125518669161e-006°)
1.14024978756117e-001	(-3.18948173052240e-002dB,-1.59492340873962e-006°)
1.14287833478977e-001	(-3.18948173052259e-002dB,-1.59860008691277e-006°)
1.14551294144553e-001	(-3.18948173052259e-002dB,-1.60228524070447e-006°)
1.14815362149688e-001	(-3.18948173052240e-002dB,-1.60597888965300e-006°)
1.15080038894443e-001	(-3.18948173052259e-002dB,-1.60968105334171e-006°)
1.15345325782109e-001	(-3.18948173052240e-002dB,-1.61339175139917e-006°)
1.15611224219209e-001	(-3.18948173052240e-002dB,-1.61711100349907e-006°)
1.15877735615512e-001	(-3.18948173052259e-002dB,-1.62083882936051e-006°)
1.16144861384034e-001	(-3.18948173052259e-002dB,-1.62457524874810e-006°)
1.16412602941049e-001	(-3.18948173052230e-002dB,-1.62832028147191e-006°)
1.16680961706096e-001	(-3.18948173052240e-002dB,-1.63207394738777e-006°)
1.16949939101987e-001	(-3.18948173052259e-002dB,-1.63583626639727e-006°)
1.17219536554813e-001	(-3.18948173052259e-002dB,-1.63960725844776e-006°)
1.17489755493952e-001	(-3.18948173052240e-002dB,-1.64338694353272e-006°)
1.17760597352080e-001	(-3.18948173052259e-002dB,-1.64717534169170e-006°)
1.18032063565172e-001	(-3.18948173052259e-002dB,-1.65097247301034e-006°)
1.18304155572516e-001	(-3.18948173052259e-002dB,-1.65477835762069e-006°)
1.18576874816716e-001	(-3.18948173052259e-002dB,-1.65859301570115e-006°)
1.18850222743701e-001	(-3.18948173052259e-002dB,-1.66241646747667e-006°)
1.19124200802737e-001	(-3.18948173052259e-002dB,-1.66624873321884e-006°)
1.19398810446427e-001	(-3.18948173052240e-002dB,-1.67008983324591e-006°)
1.19674053130724e-001	(-3.18948173052259e-002dB,-1.67393978792298e-006°)
1.19949930314937e-001	(-3.18948173052259e-002dB,-1.67779861766227e-006°)
1.20226443461741e-001	(-3.18948173052259e-002dB,-1.68166634292272e-006°)
1.20503594037179e-001	(-3.18948173052259e-002dB,-1.68554298421076e-006°)
1.20781383510677e-001	(-3.18948173052259e-002dB,-1.68942856207987e-006°)
1.21059813355048e-001	(-3.18948173052259e-002dB,-1.69332309713107e-006°)
1.21338885046497e-001	(-3.18948173052259e-002dB,-1.69722661001279e-006°)
1.21618600064636e-001	(-3.18948173052220e-002dB,-1.70113912142102e-006°)
1.21898959892486e-001	(-3.18948173052220e-002dB,-1.70506065209952e-006°)
1.22179966016487e-001	(-3.18948173052240e-002dB,-1.70899122283988e-006°)
1.22461619926504e-001	(-3.18948173052259e-002dB,-1.71293085448155e-006°)
1.22743923115840e-001	(-3.18948173052259e-002dB,-1.71687956791212e-006°)
1.23026877081238e-001	(-3.18948173052240e-002dB,-1.72083738406724e-006°)
1.23310483322890e-001	(-3.18948173052240e-002dB,-1.72480432393085e-006°)
1.23594743344450e-001	(-3.18948173052259e-002dB,-1.72878040853528e-006°)
1.23879658653036e-001	(-3.18948173052259e-002dB,-1.73276565896141e-006°)
1.24165230759240e-001	(-3.18948173052259e-002dB,-1.73676009633850e-006°)
1.24451461177138e-001	(-3.18948173052240e-002dB,-1.74076374184474e-006°)
1.24738351424294e-001	(-3.18948173052259e-002dB,-1.74477661670711e-006°)
1.25025903021771e-001	(-3.18948173052259e-002dB,-1.74879874220133e-006°)
1.25314117494141e-001	(-3.18948173052259e-002dB,-1.75283013965247e-006°)
1.25602996369487e-001	(-3.18948173052240e-002dB,-1.75687083043448e-006°)
1.25892541179416e-001	(-3.18948173052259e-002dB,-1.76092083597075e-006°)
1.26182753459066e-001	(-3.18948173052259e-002dB,-1.76498017773399e-006°)
1.26473634747114e-001	(-3.18948173052249e-002dB,-1.76904887724643e-006°)
1.26765186585784e-001	(-3.18948173052288e-002dB,-1.77312695607995e-006°)
1.27057410520853e-001	(-3.18948173052269e-002dB,-1.77721443585602e-006°)
1.27350308101665e-001	(-3.18948173052269e-002dB,-1.78131133824614e-006°)
1.27643880881134e-001	(-3.18948173052288e-002dB,-1.78541768497167e-006°)
1.27938130415752e-001	(-3.18948173052288e-002dB,-1.78953349780403e-006°)
1.28233058265601e-001	(-3.18948173052288e-002dB,-1.79365879856487e-006°)
1.28528665994361e-001	(-3.18948173052288e-002dB,-1.79779360912604e-006°)
1.28824955169313e-001	(-3.18948173052298e-002dB,-1.80193795141003e-006°)
1.29121927361353e-001	(-3.18948173052288e-002dB,-1.80609184738962e-006°)
1.29419584144998e-001	(-3.18948173052288e-002dB,-1.81025531908843e-006°)
1.29717927098395e-001	(-3.18948173052288e-002dB,-1.81442838858069e-006°)
1.30016957803328e-001	(-3.18948173052288e-002dB,-1.81861107799166e-006°)
1.30316677845229e-001	(-3.18948173052288e-002dB,-1.82280340949756e-006°)
1.30617088813183e-001	(-3.18948173052288e-002dB,-1.82700540532567e-006°)
1.30918192299940e-001	(-3.18948173052288e-002dB,-1.83121708775457e-006°)
1.31219989901919e-001	(-3.18948173052288e-002dB,-1.83543847911412e-006°)
1.31522483219223e-001	(-3.18948173052288e-002dB,-1.83966960178583e-006°)
1.31825673855640e-001	(-3.18948173052298e-002dB,-1.84391047820262e-006°)
1.32129563418657e-001	(-3.18948173052298e-002dB,-1.84816113084918e-006°)
