Freq.	V(Vout,N004)/-I(V3)-V(n004)/I(Rl)
1.31219989901919e-001	(-2.52716000149215e+001dB,6.11558765171494e-004°)
1.31522483219223e-001	(-2.52716000149192e+001dB,6.12968553723724e-004°)
1.31825673855640e-001	(-2.52716000149169e+001dB,6.14381592174235e-004°)
1.32129563418657e-001	(-2.52716000149151e+001dB,6.15797888014798e-004°)
1.32434153519466e-001	(-2.52716000149123e+001dB,6.17217448754379e-004°)
1.32739445772973e-001	(-2.52716000149099e+001dB,6.18640281919480e-004°)
1.33045441797808e-001	(-2.52716000149076e+001dB,6.20066395053784e-004°)
1.33352143216331e-001	(-2.52716000149053e+001dB,6.21495795718378e-004°)
1.33659551654643e-001	(-2.52716000149023e+001dB,6.22928491491764e-004°)
1.33967668742593e-001	(-2.52716000149000e+001dB,6.24364489970038e-004°)
1.34276496113785e-001	(-2.52716000148981e+001dB,6.25803798766744e-004°)
1.34586035405594e-001	(-2.52716000148952e+001dB,6.27246425512788e-004°)
1.34896288259164e-001	(-2.52716000148928e+001dB,6.28692377856992e-004°)
1.35207256319427e-001	(-2.52716000148904e+001dB,6.30141663465608e-004°)
1.35518941235103e-001	(-2.52716000148879e+001dB,6.31594290022588e-004°)
1.35831344658714e-001	(-2.52716000148855e+001dB,6.33050265229594e-004°)
1.36144468246594e-001	(-2.52716000148836e+001dB,6.34509596806139e-004°)
1.36458313658891e-001	(-2.52716000148800e+001dB,6.35972292489298e-004°)
1.36772882559584e-001	(-2.52716000148787e+001dB,6.37438360034403e-004°)
1.37088176616484e-001	(-2.52716000148757e+001dB,6.38907807214110e-004°)
1.37404197501250e-001	(-2.52716000148737e+001dB,6.40380641819489e-004°)
1.37720946889394e-001	(-2.52716000148707e+001dB,6.41856871659189e-004°)
1.38038426460287e-001	(-2.52716000148687e+001dB,6.43336504560191e-004°)
1.38356637897177e-001	(-2.52716000148662e+001dB,6.44819548367307e-004°)
1.38675582887188e-001	(-2.52716000148631e+001dB,6.46306010943402e-004°)
1.38995263121334e-001	(-2.52716000148605e+001dB,6.47795900169692e-004°)
1.39315680294529e-001	(-2.52716000148580e+001dB,6.49289223945339e-004°)
1.39636836105593e-001	(-2.52716000148554e+001dB,6.50785990187822e-004°)
1.39958732257261e-001	(-2.52716000148528e+001dB,6.52286206832817e-004°)
1.40281370456195e-001	(-2.52716000148502e+001dB,6.53789881834371e-004°)
1.40604752412990e-001	(-2.52716000148476e+001dB,6.55297023164794e-004°)
1.40928879842186e-001	(-2.52716000148450e+001dB,6.56807638814801e-004°)
1.41253754462274e-001	(-2.52716000148423e+001dB,6.58321736793522e-004°)
1.41579377995707e-001	(-2.52716000148403e+001dB,6.59839325128581e-004°)
1.41905752168908e-001	(-2.52716000148376e+001dB,6.61360411866018e-004°)
1.42232878712281e-001	(-2.52716000148338e+001dB,6.62885005070482e-004°)
1.42560759360218e-001	(-2.52716000148311e+001dB,6.64413112825303e-004°)
1.42889395851109e-001	(-2.52716000148284e+001dB,6.65944743232295e-004°)
1.43218789927353e-001	(-2.52716000148257e+001dB,6.67479904412026e-004°)
1.43548943335364e-001	(-2.52716000148236e+001dB,6.69018604503799e-004°)
1.43879857825583e-001	(-2.52716000148203e+001dB,6.70560851665535e-004°)
1.44211535152486e-001	(-2.52716000148175e+001dB,6.72106654074234e-004°)
1.44543977074591e-001	(-2.52716000148153e+001dB,6.73656019925497e-004°)
1.44877185354475e-001	(-2.52716000148120e+001dB,6.75208957433855e-004°)
1.45211161758773e-001	(-2.52716000148092e+001dB,6.76765474832926e-004°)
1.45545908058195e-001	(-2.52716000148064e+001dB,6.78325580375164e-004°)
1.45881426027534e-001	(-2.52716000148036e+001dB,6.79889282332118e-004°)
1.46217717445671e-001	(-2.52716000148008e+001dB,6.81456588994366e-004°)
1.46554784095590e-001	(-2.52716000147979e+001dB,6.83027508671614e-004°)
1.46892627764385e-001	(-2.52716000147951e+001dB,6.84602049692690e-004°)
1.47231250243271e-001	(-2.52716000147928e+001dB,6.86180220405737e-004°)
1.47570653327588e-001	(-2.52716000147893e+001dB,6.87762029177928e-004°)
1.47910838816819e-001	(-2.52716000147865e+001dB,6.89347484395964e-004°)
1.48251808514594e-001	(-2.52716000147836e+001dB,6.90936594465756e-004°)
1.48593564228699e-001	(-2.52716000147812e+001dB,6.92529367812610e-004°)
1.48936107771090e-001	(-2.52716000147777e+001dB,6.94125812881146e-004°)
1.49279440957898e-001	(-2.52716000147742e+001dB,6.95725938135672e-004°)
1.49623565609442e-001	(-2.52716000147718e+001dB,6.97329752059934e-004°)
1.49968483550236e-001	(-2.52716000147688e+001dB,6.98937263157060e-004°)
1.50314196609001e-001	(-2.52716000147659e+001dB,7.00548479949997e-004°)
1.50660706618673e-001	(-2.52716000147623e+001dB,7.02163410981183e-004°)
1.51008015416413e-001	(-2.52716000147593e+001dB,7.03782064812930e-004°)
1.51356124843619e-001	(-2.52716000147563e+001dB,7.05404450027111e-004°)
1.51705036745932e-001	(-2.52716000147532e+001dB,7.07030575225463e-004°)
1.52054752973248e-001	(-2.52716000147507e+001dB,7.08660449029578e-004°)
1.52405275379728e-001	(-2.52716000147465e+001dB,7.10294080080734e-004°)
1.52756605823806e-001	(-2.52716000147435e+001dB,7.11931477040491e-004°)
1.53108746168202e-001	(-2.52716000147409e+001dB,7.13572648590099e-004°)
1.53461698279928e-001	(-2.52716000147373e+001dB,7.15217603430744e-004°)
1.53815464030302e-001	(-2.52716000147341e+001dB,7.16866350283980e-004°)
1.54170045294954e-001	(-2.52716000147316e+001dB,7.18518897891311e-004°)
1.54525443953840e-001	(-2.52716000147290e+001dB,7.20175255014283e-004°)
1.54881661891247e-001	(-2.52716000147252e+001dB,7.21835430434682e-004°)
1.55238700995807e-001	(-2.52716000147215e+001dB,7.23499432954670e-004°)
1.55596563160506e-001	(-2.52716000147189e+001dB,7.25167271396716e-004°)
1.55955250282694e-001	(-2.52716000147151e+001dB,7.26838954603366e-004°)
1.56314764264094e-001	(-2.52716000147119e+001dB,7.28514491437835e-004°)
1.56675107010813e-001	(-2.52716000147086e+001dB,7.30193890783625e-004°)
1.57036280433354e-001	(-2.52716000147065e+001dB,7.31877161544813e-004°)
1.57398286446620e-001	(-2.52716000147032e+001dB,7.33564312645769e-004°)
1.57761126969933e-001	(-2.52716000146994e+001dB,7.35255353031641e-004°)
1.58124803927037e-001	(-2.52716000146961e+001dB,7.36950291668251e-004°)
1.58489319246110e-001	(-2.52716000146928e+001dB,7.38649137541930e-004°)
1.58854674859776e-001	(-2.52716000146889e+001dB,7.40351899659747e-004°)
1.59220872705115e-001	(-2.52716000146849e+001dB,7.42058587049668e-004°)
1.59587914723672e-001	(-2.52716000146827e+001dB,7.43769208760471e-004°)
1.59955802861465e-001	(-2.52716000146793e+001dB,7.45483773861477e-004°)
1.60324539069002e-001	(-2.52716000146754e+001dB,7.47202291443183e-004°)
1.60694125301286e-001	(-2.52716000146720e+001dB,7.48924770617137e-004°)
1.61064563517825e-001	(-2.52716000146685e+001dB,7.50651220515635e-004°)
1.61435855682647e-001	(-2.52716000146645e+001dB,7.52381650292145e-004°)
1.61808003764305e-001	(-2.52716000146616e+001dB,7.54116069121355e-004°)
1.62181009735891e-001	(-2.52716000146582e+001dB,7.55854486198856e-004°)
1.62554875575047e-001	(-2.52716000146541e+001dB,7.57596910741546e-004°)
1.62929603263970e-001	(-2.52716000146512e+001dB,7.59343351987725e-004°)
1.63305194789432e-001	(-2.52716000146477e+001dB,7.61093819196712e-004°)
1.63681652142779e-001	(-2.52716000146441e+001dB,7.62848321649375e-004°)
1.64058977319952e-001	(-2.52716000146406e+001dB,7.64606868647911e-004°)
1.64437172321491e-001	(-2.52716000146370e+001dB,7.66369469515919e-004°)
1.64816239152549e-001	(-2.52716000146328e+001dB,7.68136133598532e-004°)
1.65196179822900e-001	(-2.52716000146298e+001dB,7.69906870262532e-004°)
1.65576996346951e-001	(-2.52716000146268e+001dB,7.71681688896135e-004°)
1.65958690743754e-001	(-2.52716000146225e+001dB,7.73460598909143e-004°)
1.66341265037015e-001	(-2.52716000146178e+001dB,7.75243609733183e-004°)
1.66724721255104e-001	(-2.52716000146152e+001dB,7.77030730821866e-004°)
1.67109061431069e-001	(-2.52716000146115e+001dB,7.78821971650045e-004°)
1.67494287602642e-001	(-2.52716000146067e+001dB,7.80617341714696e-004°)
1.67880401812254e-001	(-2.52716000146036e+001dB,7.82416850534883e-004°)
1.68267406107045e-001	(-2.52716000145992e+001dB,7.84220507651249e-004°)
1.68655302538872e-001	(-2.52716000145966e+001dB,7.86028322626837e-004°)
1.69044093164324e-001	(-2.52716000145923e+001dB,7.87840305046190e-004°)
1.69433780044731e-001	(-2.52716000145885e+001dB,7.89656464516441e-004°)
1.69824365246172e-001	(-2.52716000145853e+001dB,7.91476810666734e-004°)
1.70215850839493e-001	(-2.52716000145803e+001dB,7.93301353148125e-004°)
1.70608238900310e-001	(-2.52716000145770e+001dB,7.95130101634466e-004°)
1.71001531509027e-001	(-2.52716000145732e+001dB,7.96963065821404e-004°)
1.71395730750840e-001	(-2.52716000145693e+001dB,7.98800255427190e-004°)
1.71790838715757e-001	(-2.52716000145654e+001dB,8.00641680192384e-004°)
1.72186857498599e-001	(-2.52716000145609e+001dB,8.02487349880016e-004°)
1.72583789199018e-001	(-2.52716000145575e+001dB,8.04337274275809e-004°)
1.72981635921508e-001	(-2.52716000145536e+001dB,8.06191463187710e-004°)
1.73380399775412e-001	(-2.52716000145491e+001dB,8.08049926446436e-004°)
1.73780082874935e-001	(-2.52716000145456e+001dB,8.09912673905500e-004°)
1.74180687339159e-001	(-2.52716000145416e+001dB,8.11779715440930e-004°)
1.74582215292048e-001	(-2.52716000145370e+001dB,8.13651060951507e-004°)
1.74984668862463e-001	(-2.52716000145330e+001dB,8.15526720359098e-004°)
1.75388050184174e-001	(-2.52716000145289e+001dB,8.17406703608159e-004°)
1.75792361395867e-001	(-2.52716000145254e+001dB,8.19291020666233e-004°)
1.76197604641161e-001	(-2.52716000145207e+001dB,8.21179681523669e-004°)
1.76603782068614e-001	(-2.52716000145172e+001dB,8.23072696194077e-004°)
1.77010895831740e-001	(-2.52716000145125e+001dB,8.24970074713904e-004°)
1.77418948089014e-001	(-2.52716000145083e+001dB,8.26871827143038e-004°)
1.77827941003890e-001	(-2.52716000145042e+001dB,8.28777963564206e-004°)
1.78237876744807e-001	(-2.52716000145000e+001dB,8.30688494083687e-004°)
1.78648757485203e-001	(-2.52716000144952e+001dB,8.32603428830815e-004°)
1.79060585403527e-001	(-2.52716000144915e+001dB,8.34522777958516e-004°)
1.79473362683250e-001	(-2.52716000144867e+001dB,8.36446551642826e-004°)
1.79887091512876e-001	(-2.52716000144830e+001dB,8.38374760083578e-004°)
