time	V(vout)	V(n001)
2.027281573831570e-002	2.007911e+000	2.097272e+001
2.028281573831570e-002	2.007688e+000	2.097172e+001
2.029281573831570e-002	2.007503e+000	2.097072e+001
2.030281573831570e-002	2.007440e+000	2.096972e+001
2.031281573831570e-002	2.007459e+000	2.096872e+001
2.032281573831570e-002	2.007499e+000	2.096772e+001
2.034281573831570e-002	2.007536e+000	2.096572e+001
2.036567288117284e-002	2.007537e+000	2.096343e+001
2.038853002402998e-002	2.007538e+000	2.096115e+001
2.041138716688712e-002	2.007540e+000	2.095886e+001
2.043424430974427e-002	2.007542e+000	2.095658e+001
2.045710145260141e-002	2.007544e+000	2.095429e+001
2.047995859545855e-002	2.007546e+000	2.095200e+001
2.050281573831569e-002	2.007549e+000	2.094972e+001
2.062424430974426e-002	2.007550e+000	2.093758e+001
2.074567288117282e-002	2.007551e+000	2.092543e+001
2.086710145260139e-002	2.007551e+000	2.091329e+001
2.098853002402996e-002	2.007551e+000	2.090115e+001
2.110995859545852e-002	2.007550e+000	2.088900e+001
2.123138716688709e-002	2.007549e+000	2.087686e+001
2.135281573831566e-002	2.007547e+000	2.086472e+001
2.999000000000004e-002	2.007461e+000	2.000100e+001
3.000000000000004e-002	2.154688e+000	2.028828e+001
3.000734424142841e-002	2.331537e+000	2.075637e+001
3.001428247288390e-002	2.348647e+000	2.099857e+001
3.002013749282601e-002	2.302279e+000	2.099799e+001
3.002641328967405e-002	2.271168e+000	2.099736e+001
3.003373753152614e-002	2.223671e+000	2.099663e+001
3.004373753152614e-002	2.166853e+000	2.099563e+001
3.005373753152614e-002	2.107131e+000	2.099463e+001
3.006373753152614e-002	2.054560e+000	2.099363e+001
3.007373753152614e-002	2.012530e+000	2.099263e+001
3.008373753152614e-002	1.976543e+000	2.099163e+001
3.009373753152613e-002	1.939924e+000	2.099063e+001
3.010373753152613e-002	1.902986e+000	2.098963e+001
3.011373753152613e-002	1.867630e+000	2.098863e+001
3.012373753152613e-002	1.834457e+000	2.098763e+001
3.013373753152613e-002	1.803105e+000	2.098663e+001
3.014373753152613e-002	1.775325e+000	2.098563e+001
3.015373753152613e-002	1.776756e+000	2.098463e+001
3.016373753152613e-002	1.843230e+000	2.098363e+001
3.017373753152613e-002	1.944051e+000	2.098263e+001
3.018373753152613e-002	2.009179e+000	2.098163e+001
3.019373753152613e-002	2.024731e+000	2.098063e+001
3.020373753152613e-002	2.018476e+000	2.097963e+001
3.021373753152613e-002	2.009834e+000	2.097863e+001
3.022373753152613e-002	2.005178e+000	2.097763e+001
3.023373753152613e-002	2.004606e+000	2.097663e+001
3.024373753152613e-002	2.005974e+000	2.097563e+001
3.025373753152613e-002	2.007325e+000	2.097463e+001
3.026373753152613e-002	2.007920e+000	2.097363e+001
3.027373753152613e-002	2.007900e+000	2.097263e+001
3.028373753152613e-002	2.007669e+000	2.097163e+001
3.029373753152613e-002	2.007493e+000	2.097063e+001
3.030373753152613e-002	2.007439e+000	2.096963e+001
3.031373753152613e-002	2.007462e+000	2.096863e+001
3.032373753152613e-002	2.007502e+000	2.096763e+001
3.034373753152612e-002	2.007536e+000	2.096563e+001
3.035659467438327e-002	2.007535e+000	2.096434e+001
3.036945181724041e-002	2.007535e+000	2.096305e+001
3.038230896009755e-002	2.007535e+000	2.096177e+001
3.039516610295470e-002	2.007536e+000	2.096048e+001
3.040802324581184e-002	2.007538e+000	2.095920e+001
3.042088038866898e-002	2.007540e+000	2.095791e+001
3.043373753152612e-002	2.007544e+000	2.095663e+001
3.044373753152612e-002	2.007545e+000	2.095563e+001
3.051659467438326e-002	2.007548e+000	2.094834e+001
3.058945181724040e-002	2.007550e+000	2.094105e+001
3.066230896009754e-002	2.007552e+000	2.093377e+001
3.073516610295468e-002	2.007553e+000	2.092648e+001
3.080802324581182e-002	2.007553e+000	2.091920e+001
3.088088038866896e-002	2.007552e+000	2.091191e+001
3.095373753152610e-002	2.007551e+000	2.090463e+001
3.999000000000006e-002	2.007461e+000	2.000100e+001
4.000000000000006e-002	2.156387e+000	2.029038e+001
4.000721864943032e-002	2.333152e+000	2.075692e+001
4.001400913787750e-002	2.350462e+000	2.099860e+001
4.001977729398304e-002	2.304051e+000	2.099802e+001
4.002598299777731e-002	2.273362e+000	2.099740e+001
4.003321610427220e-002	2.226286e+000	2.099668e+001
4.004321610427220e-002	2.169506e+000	2.099568e+001
4.005321610427221e-002	2.109781e+000	2.099468e+001
4.006321610427221e-002	2.056723e+000	2.099368e+001
4.007321610427221e-002	2.014205e+000	2.099268e+001
4.008321610427221e-002	1.978177e+000	2.099168e+001
4.009321610427222e-002	1.941630e+000	2.099068e+001
4.010321610427222e-002	1.904637e+000	2.098968e+001
4.011321610427222e-002	1.869184e+000	2.098868e+001
4.012321610427223e-002	1.835920e+000	2.098768e+001
4.013321610427223e-002	1.804486e+000	2.098668e+001
4.014321610427223e-002	1.776137e+000	2.098568e+001
4.015321610427224e-002	1.775442e+000	2.098468e+001
4.016321610427224e-002	1.839211e+000	2.098368e+001
4.017321610427224e-002	1.939826e+000	2.098268e+001
4.018321610427224e-002	2.007208e+000	2.098168e+001
4.019321610427225e-002	2.024627e+000	2.098068e+001
4.020321610427225e-002	2.018928e+000	2.097968e+001
4.021321610427225e-002	2.010215e+000	2.097868e+001
4.022321610427226e-002	2.005326e+000	2.097768e+001
4.023321610427226e-002	2.004580e+000	2.097668e+001
4.024321610427226e-002	2.005898e+000	2.097568e+001
4.025321610427227e-002	2.007273e+000	2.097468e+001
4.026321610427227e-002	2.007906e+000	2.097368e+001
4.027321610427227e-002	2.007908e+000	2.097268e+001
4.028321610427228e-002	2.007681e+000	2.097168e+001
4.029321610427228e-002	2.007499e+000	2.097068e+001
4.030321610427228e-002	2.007439e+000	2.096968e+001
4.031321610427228e-002	2.007460e+000	2.096868e+001
4.032321610427229e-002	2.007500e+000	2.096768e+001
4.034321610427229e-002	2.007536e+000	2.096568e+001
4.036607324712944e-002	2.007537e+000	2.096339e+001
4.038893038998660e-002	2.007538e+000	2.096111e+001
4.041178753284375e-002	2.007540e+000	2.095882e+001
4.043464467570089e-002	2.007542e+000	2.095653e+001
4.045750181855804e-002	2.007544e+000	2.095425e+001
4.048035896141519e-002	2.007547e+000	2.095196e+001
4.050321610427234e-002	2.007549e+000	2.094968e+001
4.066321610427239e-002	2.007552e+000	2.093368e+001
4.999000000000008e-002	2.007461e+000	2.000100e+001
5.000000000000009e-002	2.155418e+000	2.028918e+001
5.000728995838296e-002	2.332230e+000	2.075661e+001
5.001416440902414e-002	2.349429e+000	2.099858e+001
5.001998202066451e-002	2.303044e+000	2.099800e+001
5.002622766118897e-002	2.272114e+000	2.099738e+001
5.003351274131729e-002	2.224796e+000	2.099665e+001
5.004351274131730e-002	2.167995e+000	2.099565e+001
5.005351274131730e-002	2.108271e+000	2.099465e+001
5.006351274131730e-002	2.055489e+000	2.099365e+001
5.007351274131731e-002	2.013250e+000	2.099265e+001
5.008351274131731e-002	1.977247e+000	2.099165e+001
5.009351274131731e-002	1.940659e+000	2.099065e+001
5.010351274131732e-002	1.903697e+000	2.098965e+001
5.011351274131732e-002	1.868299e+000	2.098865e+001
5.012351274131732e-002	1.835087e+000	2.098765e+001
5.013351274131733e-002	1.803699e+000	2.098665e+001
5.014351274131733e-002	1.775661e+000	2.098565e+001
5.015351274131733e-002	1.776159e+000	2.098465e+001
5.016351274131733e-002	1.841492e+000	2.098365e+001
5.017351274131734e-002	1.942261e+000	2.098265e+001
5.018351274131734e-002	2.008354e+000	2.098165e+001
5.019351274131734e-002	2.024689e+000	2.098065e+001
5.020351274131735e-002	2.018665e+000	2.097965e+001
5.021351274131735e-002	2.009993e+000	2.097865e+001
5.022351274131735e-002	2.005240e+000	2.097765e+001
5.023351274131736e-002	2.004595e+000	2.097665e+001
5.024351274131736e-002	2.005943e+000	2.097565e+001
5.025351274131736e-002	2.007303e+000	2.097465e+001
5.026351274131737e-002	2.007914e+000	2.097365e+001
5.027351274131737e-002	2.007903e+000	2.097265e+001
5.028351274131737e-002	2.007674e+000	2.097165e+001
5.029351274131737e-002	2.007495e+000	2.097065e+001
5.030351274131738e-002	2.007439e+000	2.096965e+001
5.031351274131738e-002	2.007461e+000	2.096865e+001
5.032351274131738e-002	2.007501e+000	2.096765e+001
5.034351274131739e-002	2.007536e+000	2.096565e+001
5.036636988417454e-002	2.007537e+000	2.096336e+001
5.038922702703169e-002	2.007539e+000	2.096108e+001
5.041208416988884e-002	2.007540e+000	2.095879e+001
5.043494131274599e-002	2.007542e+000	2.095651e+001
5.045779845560314e-002	2.007544e+000	2.095422e+001
5.048065559846029e-002	2.007547e+000	2.095193e+001
5.050351274131744e-002	2.007549e+000	2.094965e+001
5.055636988417460e-002	2.007551e+000	2.094436e+001
5.060922702703176e-002	2.007552e+000	2.093908e+001
5.066208416988892e-002	2.007552e+000	2.093379e+001
5.071494131274607e-002	2.007552e+000	2.092851e+001
5.076779845560323e-002	2.007552e+000	2.092322e+001
5.082065559846039e-002	2.007552e+000	2.091793e+001
5.087351274131755e-002	2.007551e+000	2.091265e+001
5.088351274131756e-002	2.007551e+000	2.091165e+001
5.999000000000011e-002	2.007461e+000	2.000100e+001
6.000000000000011e-002	2.155967e+000	2.028986e+001
6.000724947724145e-002	2.332752e+000	2.075678e+001
6.001407628894328e-002	2.350014e+000	2.099859e+001
6.001986586966769e-002	2.303615e+000	2.099801e+001
6.002608888402376e-002	2.272822e+000	2.099739e+001
6.003334453336087e-002	2.225640e+000	2.099667e+001
6.004334453336087e-002	2.168851e+000	2.099566e+001
6.005334453336087e-002	2.109127e+000	2.099467e+001
6.006334453336087e-002	2.056188e+000	2.099367e+001
6.007334453336088e-002	2.013791e+000	2.099267e+001
6.008334453336088e-002	1.977775e+000	2.099166e+001
6.009334453336088e-002	1.941209e+000	2.099067e+001
6.010334453336089e-002	1.904230e+000	2.098967e+001
6.011334453336089e-002	1.868800e+000	2.098866e+001
6.012334453336089e-002	1.835559e+000	2.098767e+001
6.013334453336090e-002	1.804145e+000	2.098667e+001
6.014334453336090e-002	1.775927e+000	2.098567e+001
6.015334453336090e-002	1.775743e+000	2.098466e+001
6.016334453336091e-002	1.840196e+000	2.098367e+001
6.017334453336091e-002	1.940890e+000	2.098267e+001
6.018334453336091e-002	2.007713e+000	2.098166e+001
6.019334453336091e-002	2.024654e+000	2.098067e+001
6.020334453336092e-002	2.018812e+000	2.097967e+001
6.021334453336092e-002	2.010117e+000	2.097867e+001
6.022334453336092e-002	2.005288e+000	2.097766e+001
6.023334453336093e-002	2.004587e+000	2.097667e+001
6.024334453336093e-002	2.005918e+000	2.097567e+001
6.025334453336093e-002	2.007286e+000	2.097466e+001
6.026334453336094e-002	2.007910e+000	2.097367e+001
6.027334453336094e-002	2.007906e+000	2.097267e+001
6.028334453336094e-002	2.007678e+000	2.097167e+001
6.029334453336094e-002	2.007497e+000	2.097066e+001
6.030334453336095e-002	2.007439e+000	2.096967e+001
6.031334453336095e-002	2.007460e+000	2.096867e+001
6.032334453336095e-002	2.007501e+000	2.096766e+001
6.034334453336096e-002	2.007536e+000	2.096567e+001
6.036620167621811e-002	2.007537e+000	2.096338e+001
6.038905881907526e-002	2.007539e+000	2.096109e+001
6.041191596193241e-002	2.007540e+000	2.095881e+001
6.043477310478956e-002	2.007542e+000	2.095652e+001
6.045763024764671e-002	2.007544e+000	2.095424e+001
6.048048739050386e-002	2.007547e+000	2.095195e+001
6.050334453336101e-002	2.007549e+000	2.094967e+001
6.058763024764675e-002	2.007551e+000	2.094124e+001
6.067191596193249e-002	2.007552e+000	2.093281e+001
6.075620167621823e-002	2.007552e+000	2.092438e+001
6.084048739050397e-002	2.007552e+000	2.091595e+001
6.092477310478971e-002	2.007552e+000	2.090752e+001
6.100905881907545e-002	2.007551e+000	2.089909e+001
6.109334453336119e-002	2.007549e+000	2.089067e+001
6.110334453336119e-002	2.007549e+000	2.088967e+001
6.999000000000014e-002	2.007461e+000	2.000100e+001
7.000000000000012e-002	2.155654e+000	2.028948e+001
7.000727245976339e-002	2.332455e+000	2.075668e+001
7.001412632573199e-002	2.349682e+000	2.099859e+001
7.001993183468988e-002	2.303291e+000	2.099801e+001
7.002616770915283e-002	2.272419e+000	2.099738e+001
7.003344009116043e-002	2.225161e+000	2.099666e+001
7.004344009116043e-002	2.168365e+000	2.099566e+001
7.005344009116042e-002	2.108640e+000	2.099466e+001
7.006344009116042e-002	2.055790e+000	2.099366e+001
7.007344009116041e-002	2.013483e+000	2.099266e+001
7.008344009116041e-002	1.977475e+000	2.099166e+001
7.009344009116041e-002	1.940897e+000	2.099066e+001
7.010344009116040e-002	1.903927e+000	2.098966e+001
7.011344009116040e-002	1.868515e+000	2.098866e+001
7.012344009116039e-002	1.835291e+000	2.098766e+001
7.013344009116039e-002	1.803892e+000	2.098666e+001
7.014344009116039e-002	1.775774e+000	2.098566e+001
7.015344009116038e-002	1.775976e+000	2.098466e+001
7.016344009116038e-002	1.840932e+000	2.098366e+001
7.017344009116038e-002	1.941672e+000	2.098266e+001
7.018344009116037e-002	2.008080e+000	2.098166e+001
7.019344009116037e-002	2.024674e+000	2.098066e+001
7.020344009116036e-002	2.018727e+000	2.097966e+001
7.021344009116036e-002	2.010046e+000	2.097866e+001
7.022344009116036e-002	2.005260e+000	2.097766e+001
7.023344009116035e-002	2.004591e+000	2.097666e+001
7.024344009116035e-002	2.005932e+000	2.097566e+001
7.025344009116034e-002	2.007296e+000	2.097466e+001
7.026344009116034e-002	2.007912e+000	2.097366e+001
7.027344009116034e-002	2.007904e+000	2.097266e+001
7.028344009116033e-002	2.007676e+000	2.097166e+001
7.029344009116033e-002	2.007496e+000	2.097066e+001
7.030344009116032e-002	2.007439e+000	2.096966e+001
7.031344009116032e-002	2.007461e+000	2.096866e+001
7.032344009116032e-002	2.007501e+000	2.096766e+001
7.034344009116031e-002	2.007536e+000	2.096566e+001
7.036629723401744e-002	2.007537e+000	2.096337e+001
7.038915437687458e-002	2.007539e+000	2.096109e+001
7.041201151973171e-002	2.007540e+000	2.095880e+001
7.043486866258884e-002	2.007542e+000	2.095651e+001
7.045772580544597e-002	2.007544e+000	2.095423e+001
7.048058294830312e-002	2.007547e+000	2.095194e+001
7.050344009116025e-002	2.007549e+000	2.094966e+001
7.061915437687449e-002	2.007551e+000	2.093808e+001
7.073486866258873e-002	2.007551e+000	2.092651e+001
7.085058294830297e-002	2.007552e+000	2.091494e+001
7.096629723401721e-002	2.007551e+000	2.090337e+001
7.108201151973145e-002	2.007550e+000	2.089180e+001
7.119772580544569e-002	2.007549e+000	2.088023e+001
7.131344009115993e-002	2.007547e+000	2.086866e+001
7.132344009115993e-002	2.007547e+000	2.086766e+001
7.999000000000014e-002	2.007461e+000	2.000100e+001
8.000000000000014e-002	2.155831e+000	2.028970e+001
8.000725941234835e-002	2.332623e+000	2.075674e+001
8.001409792200860e-002	2.349870e+000	2.099859e+001
8.001989439295634e-002	2.303475e+000	2.099801e+001
8.002612297134855e-002	2.272648e+000	2.099739e+001
