rvadj	V(vout)
4.880000000000100e+003	1.466251e+000
4.890000000000100e+003	1.467309e+000
4.900000000000100e+003	1.468366e+000
4.910000000000100e+003	1.469423e+000
4.920000000000100e+003	1.470480e+000
4.930000000000100e+003	1.471537e+000
4.940000000000100e+003	1.472594e+000
4.950000000000100e+003	1.473651e+000
4.960000000000100e+003	1.474708e+000
4.970000000000100e+003	1.475765e+000
4.980000000000100e+003	1.476822e+000
4.990000000000100e+003	1.477880e+000
5.000000000000100e+003	1.478937e+000
5.010000000000100e+003	1.479994e+000
5.020000000000100e+003	1.481051e+000
5.030000000000100e+003	1.482108e+000
5.040000000000100e+003	1.483165e+000
5.050000000000100e+003	1.484222e+000
5.060000000000100e+003	1.485279e+000
5.070000000000100e+003	1.486336e+000
5.080000000000100e+003	1.487393e+000
5.090000000000100e+003	1.488450e+000
5.100000000000100e+003	1.489508e+000
5.110000000000100e+003	1.490565e+000
5.120000000000100e+003	1.491622e+000
5.130000000000100e+003	1.492679e+000
5.140000000000100e+003	1.493736e+000
5.150000000000100e+003	1.494793e+000
5.160000000000100e+003	1.495850e+000
5.170000000000100e+003	1.496907e+000
5.180000000000100e+003	1.497964e+000
5.190000000000100e+003	1.499021e+000
5.200000000000100e+003	1.500078e+000
5.210000000000100e+003	1.501135e+000
5.220000000000100e+003	1.502193e+000
5.230000000000100e+003	1.503250e+000
5.240000000000100e+003	1.504307e+000
5.250000000000100e+003	1.505364e+000
5.260000000000100e+003	1.506421e+000
5.270000000000100e+003	1.507478e+000
5.280000000000100e+003	1.508535e+000
5.290000000000100e+003	1.509592e+000
5.300000000000100e+003	1.510649e+000
5.310000000000100e+003	1.511706e+000
5.320000000000100e+003	1.512763e+000
5.330000000000100e+003	1.513821e+000
5.340000000000100e+003	1.514865e+000
5.350000000000100e+003	1.515935e+000
5.360000000000100e+003	1.516992e+000
5.370000000000100e+003	1.518049e+000
5.380000000000100e+003	1.519106e+000
5.390000000000100e+003	1.520163e+000
5.400000000000100e+003	1.521220e+000
5.410000000000100e+003	1.522277e+000
5.420000000000100e+003	1.523334e+000
5.430000000000100e+003	1.524391e+000
5.440000000000100e+003	1.525448e+000
5.450000000000100e+003	1.526506e+000
5.460000000000100e+003	1.527563e+000
5.470000000000100e+003	1.528620e+000
5.480000000000100e+003	1.529677e+000
5.490000000000100e+003	1.530734e+000
5.500000000000100e+003	1.531791e+000
5.510000000000100e+003	1.532848e+000
5.520000000000100e+003	1.533905e+000
5.530000000000100e+003	1.534962e+000
5.540000000000100e+003	1.536019e+000
5.550000000000100e+003	1.537076e+000
5.560000000000100e+003	1.538134e+000
5.570000000000100e+003	1.539191e+000
5.580000000000100e+003	1.540248e+000
5.590000000000100e+003	1.541305e+000
5.600000000000100e+003	1.542362e+000
5.610000000000100e+003	1.543419e+000
5.620000000000100e+003	1.544476e+000
5.630000000000100e+003	1.545533e+000
5.640000000000100e+003	1.546590e+000
5.650000000000100e+003	1.547647e+000
5.660000000000100e+003	1.548704e+000
5.670000000000100e+003	1.549761e+000
5.680000000000100e+003	1.550818e+000
5.690000000000100e+003	1.551875e+000
5.700000000000100e+003	1.552933e+000
5.710000000000100e+003	1.553990e+000
5.720000000000100e+003	1.555047e+000
5.730000000000100e+003	1.556104e+000
5.740000000000100e+003	1.557161e+000
5.750000000000100e+003	1.558218e+000
5.760000000000100e+003	1.559275e+000
5.770000000000100e+003	1.560332e+000
5.780000000000100e+003	1.561389e+000
5.790000000000100e+003	1.562446e+000
5.800000000000100e+003	1.563503e+000
5.810000000000100e+003	1.564560e+000
5.820000000000100e+003	1.565618e+000
5.830000000000100e+003	1.566675e+000
5.840000000000100e+003	1.567732e+000
5.850000000000100e+003	1.568789e+000
5.860000000000100e+003	1.569846e+000
5.870000000000100e+003	1.570903e+000
5.880000000000100e+003	1.571960e+000
5.890000000000100e+003	1.573017e+000
5.900000000000100e+003	1.574074e+000
5.910000000000100e+003	1.575131e+000
5.920000000000100e+003	1.576188e+000
5.930000000000100e+003	1.577245e+000
5.940000000000100e+003	1.578303e+000
5.950000000000100e+003	1.579360e+000
5.960000000000100e+003	1.580417e+000
5.970000000000100e+003	1.581474e+000
5.980000000000100e+003	1.582531e+000
5.990000000000100e+003	1.583588e+000
6.000000000000100e+003	1.584645e+000
6.010000000000100e+003	1.585702e+000
6.020000000000100e+003	1.586759e+000
6.030000000000100e+003	1.587816e+000
6.040000000000100e+003	1.588873e+000
6.050000000000100e+003	1.589930e+000
6.060000000000100e+003	1.590987e+000
6.070000000000100e+003	1.592044e+000
6.080000000000100e+003	1.593102e+000
6.090000000000100e+003	1.594159e+000
6.100000000000100e+003	1.595216e+000
6.110000000000100e+003	1.596273e+000
6.120000000000100e+003	1.597330e+000
6.130000000000100e+003	1.598387e+000
6.140000000000100e+003	1.599444e+000
6.150000000000100e+003	1.600501e+000
6.160000000000100e+003	1.601558e+000
6.170000000000100e+003	1.602615e+000
6.180000000000100e+003	1.603672e+000
6.190000000000100e+003	1.604729e+000
6.200000000000100e+003	1.605786e+000
6.210000000000100e+003	1.606843e+000
6.220000000000100e+003	1.607901e+000
6.230000000000100e+003	1.608958e+000
6.240000000000100e+003	1.610015e+000
6.250000000000100e+003	1.611072e+000
6.260000000000100e+003	1.612129e+000
6.270000000000100e+003	1.613186e+000
6.280000000000100e+003	1.614243e+000
6.290000000000100e+003	1.615300e+000
6.300000000000100e+003	1.616357e+000
6.310000000000100e+003	1.617414e+000
6.320000000000100e+003	1.618471e+000
6.330000000000100e+003	1.619528e+000
6.340000000000100e+003	1.620585e+000
6.350000000000100e+003	1.621642e+000
6.360000000000100e+003	1.622699e+000
6.370000000000100e+003	1.623757e+000
6.380000000000100e+003	1.624814e+000
6.390000000000100e+003	1.625871e+000
6.400000000000100e+003	1.626928e+000
6.410000000000100e+003	1.627985e+000
6.420000000000100e+003	1.629042e+000
6.430000000000100e+003	1.630099e+000
6.440000000000100e+003	1.631156e+000
6.450000000000100e+003	1.632213e+000
6.460000000000100e+003	1.633270e+000
6.470000000000100e+003	1.634327e+000
6.480000000000100e+003	1.635384e+000
6.490000000000100e+003	1.636441e+000
6.500000000000100e+003	1.637498e+000
6.510000000000100e+003	1.638556e+000
6.520000000000100e+003	1.639613e+000
6.530000000000100e+003	1.640670e+000
6.540000000000100e+003	1.641727e+000
6.550000000000100e+003	1.642784e+000
6.560000000000100e+003	1.643841e+000
6.570000000000100e+003	1.644898e+000
6.580000000000100e+003	1.645955e+000
6.590000000000100e+003	1.647012e+000
6.600000000000100e+003	1.648069e+000
6.610000000000100e+003	1.649126e+000
6.620000000000100e+003	1.650183e+000
6.630000000000100e+003	1.651240e+000
6.640000000000100e+003	1.652297e+000
6.650000000000100e+003	1.653355e+000
