Freq.	V(vout)/I(Ip)
4.20141584158416e+002	-6.48590517685830e-004,5.60885829493408e-002
4.30142574257426e+002	-7.23192245751723e-004,5.74243843964331e-002
4.40143564356436e+002	-7.99555338520784e-004,5.87602358166506e-002
4.50144554455446e+002	-8.77680166318290e-004,6.00961386067347e-002
4.60145544554456e+002	-9.57567099912385e-004,6.14320941764531e-002
4.70146534653466e+002	-1.03921651011236e-003,6.27681039485534e-002
4.80147524752476e+002	-1.12262876736936e-003,6.41041693587021e-002
4.90148514851486e+002	-1.20780424137920e-003,6.54402918555085e-002
5.00149504950496e+002	-1.29474330069480e-003,6.67764729004138e-002
5.10150495049505e+002	-1.38344631233214e-003,6.81127139676867e-002
5.20151485148515e+002	-1.47391364140821e-003,6.94490165442540e-002
5.30152475247525e+002	-1.56614565075294e-003,7.07853821297201e-002
5.40153465346535e+002	-1.66014270055446e-003,7.21218122361291e-002
5.50154455445545e+002	-1.75590514799026e-003,7.34583083879928e-002
5.60155445544555e+002	-1.85343334688259e-003,7.47948721221059e-002
5.70156435643565e+002	-1.95272764735707e-003,7.61315049873283e-002
5.80157425742575e+002	-2.05378839550225e-003,7.74682085446121e-002
5.90158415841584e+002	-2.15661593304181e-003,7.88049843667128e-002
6.00159405940594e+002	-2.26121059702318e-003,8.01418340380630e-002
6.10160396039604e+002	-2.36757271949678e-003,8.14787591546348e-002
6.20161386138614e+002	-2.47570262722530e-003,8.28157613237211e-002
6.30162376237624e+002	-2.58560064138543e-003,8.41528421637678e-002
6.40163366336634e+002	-2.69726707728566e-003,8.54900033041855e-002
6.50164356435644e+002	-2.81070224410918e-003,8.68272463850795e-002
6.60165346534654e+002	-2.92590644461385e-003,8.81645730572153e-002
6.70166336633663e+002	-3.04287997491127e-003,8.95019849816264e-002
6.80167326732673e+002	-3.16162312421192e-003,9.08394838294454e-002
6.90168316831683e+002	-3.28213617459012e-003,9.21770712817493e-002
7.00169306930693e+002	-3.40441940074779e-003,9.35147490292727e-002
7.10170297029703e+002	-3.52847306982144e-003,9.48525187721831e-002
7.20171287128713e+002	-3.65429744115595e-003,9.61903822198684e-002
7.30172277227723e+002	-3.78189276612132e-003,9.75283410906568e-002
7.40173267326732e+002	-3.91125928792561e-003,9.88663971116210e-002
7.50174257425742e+002	-4.04239724142167e-003,1.00204552018299e-001
7.60175247524752e+002	-4.17530685296619e-003,1.01542807554506e-001
7.70176237623762e+002	-4.30998834024309e-003,1.02881165472006e-001
7.80177227722772e+002	-4.44644191211281e-003,1.04219627530328e-001
7.90178217821782e+002	-4.58466776850275e-003,1.05558195496478e-001
8.00179207920792e+002	-4.72466610023209e-003,1.06896871144692e-001
8.10180198019802e+002	-4.86643708892724e-003,1.08235656256250e-001
8.20181188118811e+002	-5.00998090689684e-003,1.09574552619103e-001
8.30182178217821e+002	-5.15529771702749e-003,1.10913562027723e-001
8.40183168316831e+002	-5.30238767268511e-003,1.12252686282833e-001
8.50184158415841e+002	-5.45125091763666e-003,1.13591927191170e-001
8.60185148514851e+002	-5.60188758598049e-003,1.14931286565100e-001
8.70186138613861e+002	-5.75429780205016e-003,1.16270766222591e-001
8.80187128712871e+002	-5.90848168037302e-003,1.17610367986819e-001
8.90188118811880e+002	-6.06443932561815e-003,1.18950093685961e-001
9.00189108910890e+002	-6.22217083253006e-003,1.20289945152955e-001
9.10190099009900e+002	-6.38167628589948e-003,1.21629924225308e-001
9.20191089108910e+002	-6.54295576054075e-003,1.22970032744783e-001
9.30192079207920e+002	-6.70600932125858e-003,1.24310272557120e-001
9.40193069306930e+002	-6.87083702281712e-003,1.25650645512020e-001
9.50194059405940e+002	-7.03743890994672e-003,1.26991153462641e-001
9.60195049504950e+002	-7.20581501733173e-003,1.28331798265595e-001
9.70196039603959e+002	-7.37596536958685e-003,1.29672581780626e-001
9.80197029702969e+002	-7.54788998132282e-003,1.31013505870324e-001
9.90198019801979e+002	-7.72158885707608e-003,1.32354572400104e-001
1.00019900990099e+003	-7.89706199140189e-003,1.33695783237787e-001
1.01020000000000e+003	-8.07430936884395e-003,1.35037140253472e-001
1.02020099009901e+003	-8.25333096397402e-003,1.36378645319444e-001
1.03020198019802e+003	-8.43412674145004e-003,1.37720300309774e-001
1.04020297029703e+003	-8.61669665601462e-003,1.39062107100221e-001
1.05020396039604e+003	-8.80104065255650e-003,1.40404067568122e-001
1.06020495049505e+003	-8.98715866615430e-003,1.41746183591959e-001
1.07020594059406e+003	-9.17505062212748e-003,1.43088457051466e-001
1.08020693069307e+003	-9.36471643606658e-003,1.44430889827302e-001
1.09020792079208e+003	-9.55615601392409e-003,1.45773483800771e-001
1.10020891089109e+003	-9.74936925202729e-003,1.47116240853931e-001
1.11020990099010e+003	-9.94435603721527e-003,1.48459162869102e-001
1.12021089108911e+003	-1.01411162468282e-002,1.49802251728937e-001
1.13021188118812e+003	-1.03396497487879e-002,1.51145509316210e-001
1.14021287128713e+003	-1.05399564017301e-002,1.52488937513572e-001
1.15021386138614e+003	-1.07420360550122e-002,1.53832538203444e-001
1.16021485148515e+003	-1.09458885488181e-002,1.55176313267947e-001
1.17021584158416e+003	-1.11515137142109e-002,1.56520264588741e-001
1.18021683168317e+003	-1.13589113732775e-002,1.57864394046617e-001
1.19021782178218e+003	-1.15680813390988e-002,1.59208703521899e-001
1.20021881188119e+003	-1.17790234159648e-002,1.60553194893756e-001
1.21021980198020e+003	-1.19917373993641e-002,1.61897870040373e-001
1.22022079207921e+003	-1.22062230760861e-002,1.63242730838929e-001
1.23022178217822e+003	-1.24224802243683e-002,1.64587779165045e-001
1.24022277227723e+003	-1.26405086138802e-002,1.65933016893282e-001
1.25022376237624e+003	-1.28603080059272e-002,1.67278445896368e-001
1.26022475247525e+003	-1.30818781534766e-002,1.68624068045612e-001
1.27022574257426e+003	-1.33052188012163e-002,1.69969885210600e-001
1.28022673267327e+003	-1.35303296857628e-002,1.71315899258993e-001
1.29022772277228e+003	-1.37572105356212e-002,1.72662112056637e-001
1.30022871287129e+003	-1.39858610713601e-002,1.74008525467338e-001
1.31022970297030e+003	-1.42162810056956e-002,1.75355141352793e-001
1.32023069306930e+003	-1.44484700435708e-002,1.76701961572486e-001
1.33023168316831e+003	-1.46824278822365e-002,1.78048987983732e-001
