vi	-I(Rl)
3.039999999999979e+000	3.112470e+000
3.049999999999979e+000	3.108854e+000
3.059999999999978e+000	3.103754e+000
3.069999999999978e+000	3.096808e+000
3.079999999999978e+000	3.087496e+000
3.089999999999978e+000	3.075075e+000
3.099999999999977e+000	3.058467e+000
3.109999999999977e+000	3.036002e+000
3.119999999999977e+000	3.004803e+000
3.129999999999977e+000	2.958975e+000
3.139999999999977e+000	2.882510e+000
3.149999999999976e+000	2.695418e+000
3.159999999999976e+000	1.949274e+000
3.169999999999976e+000	1.340021e+000
3.179999999999976e+000	1.005931e+000
3.189999999999976e+000	8.200167e-001
3.199999999999975e+000	7.123933e-001
3.209999999999975e+000	6.473854e-001
3.219999999999975e+000	6.066635e-001
3.229999999999975e+000	5.804486e-001
3.239999999999975e+000	5.632720e-001
3.249999999999974e+000	5.519289e-001
3.259999999999974e+000	5.444596e-001
3.269999999999974e+000	5.396212e-001
3.279999999999974e+000	5.366002e-001
3.289999999999973e+000	5.348515e-001
3.299999999999973e+000	5.340024e-001
3.309999999999973e+000	5.337942e-001
3.319999999999973e+000	5.340452e-001
3.329999999999973e+000	5.346268e-001
3.339999999999972e+000	5.354472e-001
3.349999999999972e+000	5.364406e-001
3.359999999999972e+000	5.375599e-001
3.369999999999972e+000	5.387709e-001
3.379999999999972e+000	5.400490e-001
3.389999999999971e+000	5.413764e-001
3.399999999999971e+000	5.427402e-001
3.409999999999971e+000	5.441310e-001
3.419999999999971e+000	5.455421e-001
3.429999999999970e+000	5.469685e-001
3.439999999999970e+000	5.484065e-001
3.449999999999970e+000	5.498537e-001
3.459999999999970e+000	5.513080e-001
3.469999999999970e+000	5.527682e-001
3.479999999999969e+000	5.542331e-001
3.489999999999969e+000	5.557021e-001
3.499999999999969e+000	5.571745e-001
3.509999999999969e+000	5.586501e-001
3.519999999999969e+000	5.601283e-001
3.529999999999968e+000	5.616093e-001
3.539999999999968e+000	5.630925e-001
3.549999999999968e+000	5.645781e-001
3.559999999999968e+000	5.660657e-001
3.569999999999967e+000	5.675555e-001
3.579999999999967e+000	5.690473e-001
3.589999999999967e+000	5.705410e-001
3.599999999999967e+000	5.720366e-001
3.609999999999967e+000	5.735341e-001
3.619999999999966e+000	5.750335e-001
3.629999999999966e+000	5.765347e-001
3.639999999999966e+000	5.780377e-001
3.649999999999966e+000	5.795425e-001
3.659999999999966e+000	5.810490e-001
3.669999999999965e+000	5.825571e-001
3.679999999999965e+000	5.840670e-001
3.689999999999965e+000	5.855784e-001
3.699999999999965e+000	5.870886e-001
3.709999999999964e+000	5.886035e-001
3.719999999999964e+000	5.901233e-001
3.729999999999964e+000	5.916414e-001
3.739999999999964e+000	5.931611e-001
3.749999999999964e+000	5.946815e-001
3.759999999999963e+000	5.962049e-001
3.769999999999963e+000	5.977295e-001
3.779999999999963e+000	5.992545e-001
3.789999999999963e+000	6.007827e-001
3.799999999999963e+000	6.023116e-001
3.809999999999962e+000	6.038418e-001
3.819999999999962e+000	6.053736e-001
3.829999999999962e+000	6.069068e-001
3.839999999999962e+000	6.084414e-001
3.849999999999962e+000	6.099775e-001
3.859999999999961e+000	6.115147e-001
3.869999999999961e+000	6.130530e-001
3.879999999999961e+000	6.145937e-001
3.889999999999961e+000	6.161354e-001
3.899999999999960e+000	6.176782e-001
3.909999999999960e+000	6.192217e-001
