rl	V(vout)	-I(Rl)
2.640000000099988e+000	2.027554e+000	7.680128e-001
2.650000000099988e+000	2.027555e+000	7.651150e-001
2.660000000099987e+000	2.027555e+000	7.622389e-001
2.670000000099987e+000	2.027556e+000	7.593843e-001
2.680000000099987e+000	2.027557e+000	7.565511e-001
2.690000000099987e+000	2.027558e+000	7.537389e-001
2.700000000099986e+000	2.027558e+000	7.509475e-001
2.710000000099986e+000	2.027559e+000	7.481768e-001
2.720000000099986e+000	2.027560e+000	7.454264e-001
2.730000000099986e+000	2.027560e+000	7.426962e-001
2.740000000099986e+000	2.027561e+000	7.399858e-001
2.750000000099985e+000	2.027562e+000	7.372953e-001
2.760000000099985e+000	2.027563e+000	7.346241e-001
2.770000000099985e+000	2.027627e+000	7.319955e-001
2.780000000099985e+000	2.027564e+000	7.293395e-001
2.790000000099985e+000	2.027565e+000	7.267257e-001
2.800000000099984e+000	2.027565e+000	7.241305e-001
2.810000000099984e+000	2.027567e+000	7.215541e-001
2.820000000099984e+000	2.027567e+000	7.189953e-001
2.830000000099984e+000	2.027567e+000	7.164549e-001
2.840000000099983e+000	2.027568e+000	7.139324e-001
2.850000000099983e+000	2.027569e+000	7.114276e-001
2.860000000099983e+000	2.027569e+000	7.089403e-001
2.870000000099983e+000	2.027570e+000	7.064704e-001
2.880000000099983e+000	2.027570e+000	7.040176e-001
2.890000000099982e+000	2.027571e+000	7.015817e-001
2.900000000099982e+000	2.027572e+000	6.991627e-001
2.910000000099982e+000	2.027572e+000	6.967603e-001
2.920000000099982e+000	2.027573e+000	6.943743e-001
2.930000000099982e+000	2.027574e+000	6.920047e-001
2.940000000099981e+000	2.027574e+000	6.896511e-001
2.950000000099981e+000	2.027575e+000	6.873136e-001
2.960000000099981e+000	2.027575e+000	6.849917e-001
2.970000000099981e+000	2.027576e+000	6.826856e-001
2.980000000099981e+000	2.027577e+000	6.803949e-001
2.990000000099980e+000	2.027577e+000	6.781195e-001
3.000000000099980e+000	2.027578e+000	6.758593e-001
3.010000000099980e+000	2.027579e+000	6.736141e-001
3.020000000099980e+000	2.027579e+000	6.713838e-001
3.030000000099979e+000	2.027580e+000	6.691682e-001
3.040000000099979e+000	2.027580e+000	6.669672e-001
3.050000000099979e+000	2.027606e+000	6.647888e-001
3.060000000099979e+000	2.027581e+000	6.626083e-001
3.070000000099979e+000	2.027582e+000	6.604501e-001
3.080000000099978e+000	2.027582e+000	6.583060e-001
3.090000000099978e+000	2.027583e+000	6.561757e-001
3.100000000099978e+000	2.027584e+000	6.540592e-001
3.110000000099978e+000	2.027584e+000	6.519563e-001
3.120000000099978e+000	2.027585e+000	6.498669e-001
3.130000000099977e+000	2.027585e+000	6.477908e-001
3.140000000099977e+000	2.027586e+000	6.457279e-001
3.150000000099977e+000	2.027586e+000	6.436782e-001
3.160000000099977e+000	2.027587e+000	6.416414e-001
3.170000000099976e+000	2.027587e+000	6.396174e-001
3.180000000099976e+000	2.027588e+000	6.376063e-001
3.190000000099976e+000	2.027588e+000	6.356077e-001
3.200000000099976e+000	2.027589e+000	6.336215e-001
3.210000000099976e+000	2.027589e+000	6.316478e-001
3.220000000099975e+000	2.027590e+000	6.296863e-001
3.230000000099975e+000	2.027591e+000	6.277370e-001
3.240000000099975e+000	2.027591e+000	6.257997e-001
3.250000000099975e+000	2.027591e+000	6.238743e-001
3.260000000099975e+000	2.027592e+000	6.219607e-001
3.270000000099974e+000	2.027592e+000	6.200588e-001
3.280000000099974e+000	2.027593e+000	6.181686e-001
3.290000000099974e+000	2.027593e+000	6.162898e-001
3.300000000099974e+000	2.027594e+000	6.144224e-001
3.310000000099973e+000	2.027594e+000	6.125663e-001
3.320000000099973e+000	2.027595e+000	6.107213e-001
3.330000000099973e+000	2.027595e+000	6.088875e-001
3.340000000099973e+000	2.027596e+000	6.070646e-001
3.350000000099973e+000	2.027596e+000	6.052526e-001
3.360000000099972e+000	2.027597e+000	6.034514e-001
3.370000000099972e+000	2.027597e+000	6.016609e-001
3.380000000099972e+000	2.027598e+000	5.998810e-001
3.390000000099972e+000	2.027598e+000	5.981116e-001
3.400000000099972e+000	2.027599e+000	5.963525e-001
3.410000000099971e+000	2.027599e+000	5.946038e-001
3.420000000099971e+000	2.027600e+000	5.928653e-001
3.430000000099971e+000	2.027600e+000	5.911370e-001
3.440000000099971e+000	2.027600e+000	5.894187e-001
3.450000000099970e+000	2.027601e+000	5.877104e-001
3.460000000099970e+000	2.027601e+000	5.860119e-001
3.470000000099970e+000	2.027602e+000	5.843233e-001
3.480000000099970e+000	2.027602e+000	5.826443e-001
3.490000000099970e+000	2.027603e+000	5.809749e-001
3.500000000099969e+000	2.027603e+000	5.793151e-001
3.510000000099969e+000	2.027603e+000	5.776648e-001
3.520000000099969e+000	2.027604e+000	5.760238e-001
3.530000000099969e+000	2.027604e+000	5.743921e-001
3.540000000099969e+000	2.027605e+000	5.727697e-001
3.550000000099968e+000	2.027605e+000	5.711564e-001
3.560000000099968e+000	2.027606e+000	5.695521e-001
3.570000000099968e+000	2.027606e+000	5.679569e-001
3.580000000099968e+000	2.027606e+000	5.663705e-001
3.590000000099967e+000	2.027607e+000	5.647930e-001
3.600000000099967e+000	2.027607e+000	5.632243e-001
