riadj	-I(Rl)
2.400000000000100e+003	9.331625e-001
2.410000000000100e+003	9.310437e-001
2.420000000000100e+003	9.289349e-001
2.430000000000100e+003	9.268353e-001
2.440000000000100e+003	9.247451e-001
2.450000000000100e+003	9.226645e-001
2.460000000000100e+003	9.205931e-001
2.470000000000100e+003	9.185311e-001
2.480000000000100e+003	9.164782e-001
2.490000000000100e+003	9.144344e-001
2.500000000000100e+003	9.123998e-001
2.510000000000100e+003	9.103742e-001
2.520000000000100e+003	9.083576e-001
2.530000000000100e+003	9.063498e-001
2.540000000000100e+003	9.043509e-001
2.550000000000100e+003	9.023607e-001
2.560000000000100e+003	9.003792e-001
2.570000000000100e+003	8.984066e-001
2.580000000000100e+003	8.964424e-001
2.590000000000100e+003	8.944867e-001
2.600000000000100e+003	8.925397e-001
2.610000000000100e+003	8.906012e-001
2.620000000000100e+003	8.886710e-001
2.630000000000100e+003	8.867491e-001
2.640000000000100e+003	8.848354e-001
2.650000000000100e+003	8.829301e-001
2.660000000000100e+003	8.810329e-001
2.670000000000100e+003	8.791438e-001
2.680000000000100e+003	8.772628e-001
2.690000000000100e+003	8.753899e-001
2.700000000000100e+003	8.735248e-001
2.710000000000100e+003	8.716677e-001
2.720000000000100e+003	8.698184e-001
2.730000000000100e+003	8.679770e-001
2.740000000000100e+003	8.661434e-001
2.750000000000100e+003	8.643175e-001
2.760000000000100e+003	8.624992e-001
2.770000000000100e+003	8.606886e-001
2.780000000000100e+003	8.588856e-001
2.790000000000100e+003	8.570900e-001
2.800000000000100e+003	8.553020e-001
2.810000000000100e+003	8.535213e-001
2.820000000000100e+003	8.517482e-001
2.830000000000100e+003	8.499822e-001
2.840000000000100e+003	8.482237e-001
2.850000000000100e+003	8.464723e-001
2.860000000000100e+003	8.447282e-001
2.870000000000100e+003	8.429912e-001
2.880000000000100e+003	8.412613e-001
2.890000000000100e+003	8.395386e-001
2.900000000000100e+003	8.378229e-001
2.910000000000100e+003	8.361141e-001
2.920000000000100e+003	8.344123e-001
2.930000000000100e+003	8.327174e-001
2.940000000000100e+003	8.310293e-001
2.950000000000100e+003	8.293481e-001
2.960000000000100e+003	8.276737e-001
2.970000000000100e+003	8.260059e-001
2.980000000000100e+003	8.243449e-001
2.990000000000100e+003	8.226906e-001
3.000000000000100e+003	8.210428e-001
3.010000000000100e+003	8.194017e-001
3.020000000000100e+003	8.177670e-001
3.030000000000100e+003	8.161389e-001
3.040000000000100e+003	8.145173e-001
3.050000000000100e+003	8.129020e-001
3.060000000000100e+003	8.112932e-001
3.070000000000100e+003	8.096907e-001
3.080000000000100e+003	8.080945e-001
3.090000000000100e+003	8.065045e-001
3.100000000000100e+003	8.049209e-001
3.110000000000100e+003	8.033434e-001
3.120000000000100e+003	8.017721e-001
3.130000000000100e+003	8.002068e-001
3.140000000000100e+003	7.986476e-001
3.150000000000100e+003	7.970946e-001
3.160000000000100e+003	7.955475e-001
3.170000000000100e+003	7.940063e-001
3.180000000000100e+003	7.924713e-001
3.190000000000100e+003	7.909421e-001
3.200000000000100e+003	7.894188e-001
3.210000000000100e+003	7.879013e-001
3.220000000000100e+003	7.863896e-001
3.230000000000100e+003	7.848837e-001
3.240000000000100e+003	7.833836e-001
3.250000000000100e+003	7.818891e-001
3.260000000000100e+003	7.804004e-001
3.270000000000100e+003	7.789174e-001
3.280000000000100e+003	7.774400e-001
3.290000000000100e+003	7.759680e-001
3.300000000000100e+003	7.745017e-001
3.310000000000100e+003	7.730409e-001
3.320000000000100e+003	7.715855e-001
3.330000000000100e+003	7.701357e-001
3.340000000000100e+003	7.686912e-001
3.350000000000100e+003	7.672523e-001
3.360000000000100e+003	7.658186e-001
3.370000000000100e+003	7.643902e-001
3.380000000000100e+003	7.629672e-001
3.390000000000100e+003	7.615495e-001
3.400000000000100e+003	7.601370e-001
3.410000000000100e+003	7.587298e-001
3.420000000000100e+003	7.573277e-001
3.430000000000100e+003	7.559307e-001
3.440000000000100e+003	7.545390e-001
3.450000000000100e+003	7.531524e-001
3.460000000000100e+003	7.517708e-001
3.470000000000100e+003	7.503942e-001
3.480000000000100e+003	7.490227e-001
3.490000000000100e+003	7.476562e-001
3.500000000000100e+003	7.462947e-001
3.510000000000100e+003	7.449381e-001
3.520000000000100e+003	7.435864e-001
3.530000000000100e+003	7.422396e-001
3.540000000000100e+003	7.408976e-001
3.550000000000100e+003	7.395605e-001
3.560000000000100e+003	7.382283e-001
3.570000000000100e+003	7.369007e-001
3.580000000000100e+003	7.355780e-001
3.590000000000100e+003	7.342600e-001
3.600000000000100e+003	7.329466e-001
3.610000000000100e+003	7.316380e-001
3.620000000000100e+003	7.303340e-001
3.630000000000100e+003	7.290347e-001
3.640000000000100e+003	7.277400e-001
3.650000000000100e+003	7.264498e-001
3.660000000000100e+003	7.251642e-001
3.670000000000100e+003	7.238832e-001
3.680000000000100e+003	7.226065e-001
3.690000000000100e+003	7.213345e-001
3.700000000000100e+003	7.200669e-001
3.710000000000100e+003	7.188038e-001
3.720000000000100e+003	7.175450e-001
3.730000000000100e+003	7.162907e-001
3.740000000000100e+003	7.150406e-001
3.750000000000100e+003	7.137950e-001
3.760000000000100e+003	7.125537e-001
3.770000000000100e+003	7.113167e-001
3.780000000000100e+003	7.100840e-001
3.790000000000100e+003	7.088555e-001
3.800000000000100e+003	7.076313e-001
3.810000000000100e+003	7.064112e-001
3.820000000000100e+003	7.051954e-001
3.830000000000100e+003	7.039837e-001
3.840000000000100e+003	7.027763e-001
3.850000000000100e+003	7.015729e-001
3.860000000000100e+003	7.003735e-001
3.870000000000100e+003	6.991784e-001
3.880000000000100e+003	6.979873e-001
3.890000000000100e+003	6.968002e-001
3.900000000000100e+003	6.956171e-001
3.910000000000100e+003	6.944380e-001
