time	V(in1)	V(in2)	V(out)
3.000002364488574e-003	1.100000e+000	1.000000e+000	1.274713e+000
3.000003002661068e-003	1.100000e+000	1.000000e+000	1.235940e+000
3.000003842921867e-003	1.100000e+000	1.000000e+000	1.200569e+000
3.000004816333380e-003	1.100000e+000	1.000000e+000	1.173029e+000
3.000006144891802e-003	1.100000e+000	1.000000e+000	1.148887e+000
3.000007765925982e-003	1.100000e+000	1.000000e+000	1.130186e+000
3.000010016358085e-003	1.100000e+000	1.000000e+000	1.113405e+000
3.000012916686977e-003	1.100000e+000	1.000000e+000	1.097052e+000
3.000017167350765e-003	1.100000e+000	1.000000e+000	1.074459e+000
3.000022145692163e-003	1.100000e+000	1.000000e+000	1.053241e+000
3.000028478799118e-003	1.100000e+000	1.000000e+000	1.046800e+000
3.000035331797953e-003	1.100000e+000	1.000000e+000	1.059875e+000
3.000043383621182e-003	1.100000e+000	1.000000e+000	1.076196e+000
3.000050725636605e-003	1.100000e+000	1.000000e+000	1.081282e+000
3.000061242460402e-003	1.100000e+000	1.000000e+000	1.081338e+000
3.000076832538350e-003	1.100000e+000	1.000000e+000	1.080876e+000
3.000100122667536e-003	1.100000e+000	1.000000e+000	1.080767e+000
3.000146702925908e-003	1.100000e+000	1.000000e+000	1.080781e+000
3.000239863442651e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.000426184476138e-003	1.100000e+000	1.000000e+000	1.080780e+000
3.000798826543111e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.983071838552308e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.991665588552308e-003	1.100000e+000	1.000000e+000	1.080780e+000
3.991666588552308e-003	1.100000e+000	1.000000e+000	1.080780e+000
3.991668588552309e-003	1.100000e+000	1.000000e+000	1.080781e+000
3.991672588552310e-003	1.100000e+000	1.000000e+000	1.080781e+000
3.991680588552313e-003	1.100000e+000	1.000000e+000	1.080780e+000
3.991696588552318e-003	1.100000e+000	1.000000e+000	1.080780e+000
3.996771468667997e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.997926760227190e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.997929760227191e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.997933760227192e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.997941760227195e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999720722404894e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999823218561502e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999826218561503e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999830218561504e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999838218561507e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999886218561523e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999936999999978e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999939999999979e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999943999999980e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999951999999983e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999967999999988e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999970999999990e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999974999999993e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999983000000000e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999988999999963e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999993000000047e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999994000000048e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999998999999899e-003	1.100000e+000	1.000000e+000	1.080779e+000
3.999999999999900e-003	1.100000e+000	1.000000e+000	1.080779e+000
4.000001000000000e-003	1.100000e+000	1.000000e+000	1.080784e+000
4.000001099999999e-003	9.900000e-001	1.000000e+000	1.032402e+000
4.000001299999999e-003	7.700000e-001	1.000000e+000	9.309763e-001
4.000001600000000e-003	4.400000e-001	1.000000e+000	7.728307e-001
4.000002000000000e-003	1.019427e-010	1.000000e+000	5.567425e-001
4.000002040000000e-003	3.398089e-011	1.000000e+000	5.526336e-001
4.000002119999999e-003	0.000000e+000	1.000000e+000	5.473881e-001
4.000002280000000e-003	0.000000e+000	1.000000e+000	5.400380e-001
4.000002600000000e-003	0.000000e+000	1.000000e+000	5.289468e-001
4.000003240000000e-003	0.000000e+000	1.000000e+000	5.212633e-001
4.000004081476186e-003	0.000000e+000	1.000000e+000	5.380704e-001
4.000005029211966e-003	0.000000e+000	1.000000e+000	5.879030e-001
4.000006250614362e-003	0.000000e+000	1.000000e+000	6.802260e-001
4.000007412824913e-003	0.000000e+000	1.000000e+000	7.789140e-001
4.000008639291092e-003	0.000000e+000	1.000000e+000	8.781174e-001
4.000009769084419e-003	0.000000e+000	1.000000e+000	9.513673e-001
4.000011041685268e-003	0.000000e+000	1.000000e+000	1.004846e+000
4.000012644438565e-003	0.000000e+000	1.000000e+000	1.037197e+000
4.000014464145651e-003	0.000000e+000	1.000000e+000	1.045687e+000
4.000016208200393e-003	0.000000e+000	1.000000e+000	1.039118e+000
4.000018193293309e-003	0.000000e+000	1.000000e+000	1.025962e+000
4.000020567376583e-003	0.000000e+000	1.000000e+000	1.011456e+000
4.000023982704160e-003	0.000000e+000	1.000000e+000	9.973692e-001
4.000029198257630e-003	0.000000e+000	1.000000e+000	9.873708e-001
4.000039629364570e-003	0.000000e+000	1.000000e+000	9.818484e-001
4.000050015740294e-003	0.000000e+000	1.000000e+000	9.810287e-001
4.000069089249124e-003	0.000000e+000	1.000000e+000	9.810772e-001
4.000102326115995e-003	0.000000e+000	1.000000e+000	9.810661e-001
4.000168799849735e-003	0.000000e+000	1.000000e+000	9.810718e-001
4.000301747317216e-003	0.000000e+000	1.000000e+000	9.810693e-001
4.000567642252179e-003	0.000000e+000	1.000000e+000	9.810705e-001
4.001099432122104e-003	0.000000e+000	1.000000e+000	9.810699e-001
4.004290171341653e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.993481256439686e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.995849987120629e-003	0.000000e+000	1.000000e+000	9.811023e-001
4.995850987120630e-003	0.000000e+000	1.000000e+000	9.810967e-001
4.995852987120630e-003	0.000000e+000	1.000000e+000	9.810827e-001
4.995856987120632e-003	0.000000e+000	1.000000e+000	9.810748e-001
4.995864987120634e-003	0.000000e+000	1.000000e+000	9.810694e-001
4.995880987120640e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.995912987120651e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.995976987120673e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.996104987120716e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.996360987120804e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.997896987121327e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.998062025755251e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.998282077267148e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.999204772677067e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.999374730126383e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.999660085101369e-003	0.000000e+000	1.000000e+000	9.810656e-001
4.999661085101369e-003	0.000000e+000	1.000000e+000	9.810678e-001
4.999663085101370e-003	0.000000e+000	1.000000e+000	9.810712e-001
4.999667085101371e-003	0.000000e+000	1.000000e+000	9.810694e-001
4.999675085101374e-003	0.000000e+000	1.000000e+000	9.810703e-001
4.999691085101380e-003	0.000000e+000	1.000000e+000	9.810699e-001
4.999723085101391e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.999787085101412e-003	0.000000e+000	1.000000e+000	9.810700e-001
4.999871999999957e-003	0.000000e+000	1.000000e+000	9.810657e-001
4.999872999999957e-003	0.000000e+000	1.000000e+000	9.810678e-001
4.999874999999958e-003	0.000000e+000	1.000000e+000	9.810711e-001
4.999878999999959e-003	0.000000e+000	1.000000e+000	9.810695e-001
4.999886999999962e-003	0.000000e+000	1.000000e+000	9.810703e-001
4.999902999999967e-003	0.000000e+000	1.000000e+000	9.810699e-001
4.999934999999978e-003	0.000000e+000	1.000000e+000	9.810661e-001
4.999935999999978e-003	0.000000e+000	1.000000e+000	9.810680e-001
4.999937999999979e-003	0.000000e+000	1.000000e+000	9.810710e-001
4.999941999999980e-003	0.000000e+000	1.000000e+000	9.810695e-001
4.999965999999989e-003	0.000000e+000	1.000000e+000	9.810717e-001
4.999971999999991e-003	0.000000e+000	1.000000e+000	9.810695e-001
4.999983999999995e-003	0.000000e+000	1.000000e+000	9.810696e-001
4.999991999999997e-003	0.000000e+000	1.000000e+000	9.810669e-001
4.999992999999998e-003	0.000000e+000	1.000000e+000	9.810682e-001
4.999994999999998e-003	0.000000e+000	1.000000e+000	9.810683e-001
4.999995999999999e-003	0.000000e+000	1.000000e+000	9.810683e-001
4.999997999999999e-003	0.000000e+000	1.000000e+000	9.810684e-001
4.999999000000000e-003	0.000000e+000	1.000000e+000	9.810700e-001
5.000000000000000e-003	0.000000e+000	1.000000e+000	9.809092e-001
5.000000100000001e-003	1.100000e-001	1.000000e+000	1.027077e+000
5.000000300000001e-003	3.300000e-001	1.000000e+000	1.119135e+000
5.000000600000000e-003	6.600000e-001	1.000000e+000	1.248290e+000
5.000001000000000e-003	1.100000e+000	1.000000e+000	1.406780e+000
5.000001040000000e-003	1.100000e+000	1.000000e+000	1.404209e+000
5.000001120000000e-003	1.100000e+000	1.000000e+000	1.395416e+000
5.000001280000000e-003	1.100000e+000	1.000000e+000	1.375298e+000
5.000001600000001e-003	1.100000e+000	1.000000e+000	1.340212e+000
5.000002240000001e-003	1.100000e+000	1.000000e+000	1.284125e+000
5.000002876694570e-003	1.100000e+000	1.000000e+000	1.242641e+000
5.000003675870877e-003	1.100000e+000	1.000000e+000	1.206508e+000
5.000004606997500e-003	1.100000e+000	1.000000e+000	1.178033e+000
5.000005871259065e-003	1.100000e+000	1.000000e+000	1.153002e+000
5.000007414109091e-003	1.100000e+000	1.000000e+000	1.133586e+000
5.000009558006122e-003	1.100000e+000	1.000000e+000	1.116338e+000
5.000012275191943e-003	1.100000e+000	1.000000e+000	1.100486e+000
5.000016290870864e-003	1.100000e+000	1.000000e+000	1.079081e+000
5.000021136489819e-003	1.100000e+000	1.000000e+000	1.057142e+000
5.000027671105607e-003	1.100000e+000	1.000000e+000	1.046967e+000
5.000034635920322e-003	1.100000e+000	1.000000e+000	1.058341e+000
5.000042191532353e-003	1.100000e+000	1.000000e+000	1.074480e+000
5.000050034950698e-003	1.100000e+000	1.000000e+000	1.080971e+000
5.000059339087333e-003	1.100000e+000	1.000000e+000	1.081430e+000
5.000075168389867e-003	1.100000e+000	1.000000e+000	1.080905e+000
5.000095998311022e-003	1.100000e+000	1.000000e+000	1.080765e+000
5.000137658153332e-003	1.100000e+000	1.000000e+000	1.080781e+000
5.000220977837954e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.000387617207196e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.000720895945681e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.993408233799583e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.995999032400837e-003	1.100000e+000	1.000000e+000	1.080787e+000
5.996000032400838e-003	1.100000e+000	1.000000e+000	1.080784e+000
5.996002032400840e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.996006032400845e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.996014032400855e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.996030032400874e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.996062032400913e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.996126032400990e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.996254032401145e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.997022032402073e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.998046032403310e-003	1.100000e+000	1.000000e+000	1.080776e+000
5.998047032403311e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.998049032403314e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.998053032403319e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.998061032403328e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.998077032403348e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.998109032403386e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.998173032403464e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.998301032403618e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.998557032403928e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999069032404546e-003	1.100000e+000	1.000000e+000	1.080776e+000
5.999070032404547e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999072032404550e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999076032404555e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999084032404564e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999100032404584e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999132032404622e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999196032404700e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999324032404854e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999580032405164e-003	1.100000e+000	1.000000e+000	1.080782e+000
5.999581032405165e-003	1.100000e+000	1.000000e+000	1.080781e+000
5.999583032405167e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999587032405172e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999595032405182e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999611032405201e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999643032405240e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999707032405317e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999835032405472e-003	1.100000e+000	1.000000e+000	1.080782e+000
5.999836032405473e-003	1.100000e+000	1.000000e+000	1.080781e+000
5.999838032405475e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999842032405480e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999850032405490e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999866032405509e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999898032405548e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999936999999923e-003	1.100000e+000	1.000000e+000	1.080777e+000
5.999937999999924e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999939999999927e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999943999999932e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999951999999941e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999967999999961e-003	1.100000e+000	1.000000e+000	1.080782e+000
5.999968999999962e-003	1.100000e+000	1.000000e+000	1.080781e+000
5.999970999999964e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999974999999969e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999982999999979e-003	1.100000e+000	1.000000e+000	1.080780e+000
5.999988999999986e-003	1.100000e+000	1.000000e+000	1.080779e+000
5.999992999999991e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999993999999992e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999995999999994e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999996999999996e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999998999999998e-003	1.100000e+000	1.000000e+000	1.080778e+000
5.999999999999999e-003	1.100000e+000	1.000000e+000	1.080779e+000
6.000001000000000e-003	1.100000e+000	1.000000e+000	1.080680e+000
6.000001099999999e-003	9.900000e-001	1.000000e+000	1.032364e+000
6.000001299999999e-003	7.700000e-001	1.000000e+000	9.309760e-001
6.000001600000001e-003	4.400000e-001	1.000000e+000	7.728308e-001
6.000002000000000e-003	1.019427e-010	1.000000e+000	5.567468e-001
6.000002040000000e-003	3.398089e-011	1.000000e+000	5.526353e-001
6.000002120000000e-003	0.000000e+000	1.000000e+000	5.473881e-001
6.000002280000000e-003	0.000000e+000	1.000000e+000	5.400379e-001
6.000002600000000e-003	0.000000e+000	1.000000e+000	5.289468e-001
6.000003240000000e-003	0.000000e+000	1.000000e+000	5.212633e-001
