Freq.	V(out)
1.19124200802737e-001	(-2.64486543628303e-001dB,-8.31267993593484e-008°)
1.19398810446427e-001	(-2.64486543628303e-001dB,-8.33184264225255e-008°)
1.19674053130724e-001	(-2.64486543628303e-001dB,-8.35104952317053e-008°)
1.19949930314937e-001	(-2.64486543628303e-001dB,-8.37030068052178e-008°)
1.20226443461741e-001	(-2.64486543628303e-001dB,-8.38959621637399e-008°)
1.20503594037179e-001	(-2.64486543628303e-001dB,-8.40893623303017e-008°)
1.20781383510677e-001	(-2.64486543628303e-001dB,-8.42832083302917e-008°)
1.21059813355048e-001	(-2.64486543628303e-001dB,-8.44775011914623e-008°)
1.21338885046497e-001	(-2.64486543628303e-001dB,-8.46722419439348e-008°)
1.21618600064636e-001	(-2.64486543628303e-001dB,-8.48674316202051e-008°)
1.21898959892486e-001	(-2.64486543628303e-001dB,-8.50630712551495e-008°)
1.22179966016487e-001	(-2.64486543628303e-001dB,-8.52591618860298e-008°)
1.22461619926504e-001	(-2.64486543628303e-001dB,-8.54557045524994e-008°)
1.22743923115840e-001	(-2.64486543628302e-001dB,-8.56527002966075e-008°)
1.23026877081238e-001	(-2.64486543628302e-001dB,-8.58501501628059e-008°)
1.23310483322890e-001	(-2.64486543628302e-001dB,-8.60480551979548e-008°)
1.23594743344450e-001	(-2.64486543628302e-001dB,-8.62464164513263e-008°)
1.23879658653036e-001	(-2.64486543628302e-001dB,-8.64452349746123e-008°)
1.24165230759240e-001	(-2.64486543628302e-001dB,-8.66445118219286e-008°)
1.24451461177138e-001	(-2.64486543628302e-001dB,-8.68442480498218e-008°)
1.24738351424294e-001	(-2.64486543628302e-001dB,-8.70444447172728e-008°)
1.25025903021771e-001	(-2.64486543628303e-001dB,-8.72451028857047e-008°)
1.25314117494141e-001	(-2.64486543628303e-001dB,-8.74462236189871e-008°)
1.25602996369487e-001	(-2.64486543628303e-001dB,-8.76478079834421e-008°)
1.25892541179416e-001	(-2.64486543628303e-001dB,-8.78498570478501e-008°)
1.26182753459066e-001	(-2.64486543628303e-001dB,-8.80523718834548e-008°)
1.26473634747114e-001	(-2.64486543628303e-001dB,-8.82553535639698e-008°)
1.26765186585784e-001	(-2.64486543628303e-001dB,-8.84588031655840e-008°)
1.27057410520853e-001	(-2.64486543628303e-001dB,-8.86627217669667e-008°)
