time	-I(Rl)	V(vout)
2.687695037617529e-03	2.054151e+00	2.054151e-03
2.694530975117529e-03	2.054151e+00	2.054151e-03
2.701366912617529e-03	2.054151e+00	2.054151e-03
2.708202850117529e-03	2.054151e+00	2.054152e-03
2.715038787617529e-03	2.054152e+00	2.054152e-03
2.721874725117529e-03	2.054152e+00	2.054152e-03
2.728710662617529e-03	2.054152e+00	2.054152e-03
2.735546600117529e-03	2.054152e+00	2.054152e-03
2.742382537617529e-03	2.054152e+00	2.054152e-03
2.749218475117529e-03	2.054152e+00	2.054153e-03
2.756054412617529e-03	2.054152e+00	2.054153e-03
2.762890350117529e-03	2.054152e+00	2.054153e-03
2.769726287617529e-03	2.054153e+00	2.054153e-03
2.776562225117529e-03	2.054153e+00	2.054153e-03
2.783398162617529e-03	2.054153e+00	2.054153e-03
2.790234100117529e-03	2.054153e+00	2.054153e-03
2.797070037617529e-03	2.054153e+00	2.054153e-03
2.803905975117529e-03	2.054153e+00	2.054153e-03
2.810741912617529e-03	2.054153e+00	2.054153e-03
2.817577850117529e-03	2.054153e+00	2.054153e-03
2.824413787617529e-03	2.054153e+00	2.054153e-03
2.831249725117529e-03	2.054153e+00	2.054153e-03
2.838085662617529e-03	2.054153e+00	2.054153e-03
2.844921600117529e-03	2.054153e+00	2.054153e-03
2.851757537617529e-03	2.054153e+00	2.054153e-03
2.858593475117529e-03	2.054153e+00	2.054154e-03
2.865429412617529e-03	2.054153e+00	2.054154e-03
2.872265350117529e-03	2.054154e+00	2.054154e-03
2.879101287617529e-03	2.054154e+00	2.054154e-03
2.885937225117529e-03	2.054154e+00	2.054154e-03
2.892773162617529e-03	2.054154e+00	2.054154e-03
2.899609100117529e-03	2.054154e+00	2.054154e-03
2.906445037617529e-03	2.054154e+00	2.054154e-03
2.913280975117529e-03	2.054154e+00	2.054154e-03
2.920116912617529e-03	2.054154e+00	2.054154e-03
2.926952850117529e-03	2.054154e+00	2.054154e-03
2.933788787617529e-03	2.054154e+00	2.054154e-03
2.940624725117529e-03	2.054154e+00	2.054154e-03
2.947460662617529e-03	2.054154e+00	2.054154e-03
2.954296600117529e-03	2.054154e+00	2.054154e-03
2.961132537617529e-03	2.054154e+00	2.054154e-03
2.967968475117529e-03	2.054154e+00	2.054154e-03
2.974804412617529e-03	2.054154e+00	2.054154e-03
2.981640350117529e-03	2.054154e+00	2.054154e-03
2.988476287617529e-03	2.054154e+00	2.054154e-03
2.995312225117529e-03	2.054154e+00	2.054154e-03
3.002148162617529e-03	2.054154e+00	2.054154e-03
3.015820037617529e-03	2.054154e+00	2.054154e-03
3.022655975117529e-03	2.054154e+00	2.054154e-03
3.029491912617529e-03	2.054154e+00	2.054154e-03
3.036327850117529e-03	2.054154e+00	2.054154e-03
3.043163787617529e-03	2.054154e+00	2.054154e-03
3.049999725117529e-03	2.054154e+00	2.054154e-03
3.056835662617529e-03	2.054154e+00	2.054154e-03
3.063671600117529e-03	2.054154e+00	2.054154e-03
3.070507537617529e-03	2.054154e+00	2.054154e-03
