Freq.	V(out)*I(RL)/2
1.02487460422041e-002	2.18128453578809e-003,-5.30150578991070e-003
1.02532437151495e-002	2.18556970551183e-003,-5.30970990593971e-003
1.02577433619034e-002	2.18986225893972e-003,-5.31792740041095e-003
1.02622449833319e-002	2.19416220753720e-003,-5.32615829626578e-003
1.02667485803018e-002	2.19846956278486e-003,-5.33440261648666e-003
1.02712541536799e-002	2.20278433617925e-003,-5.34266038409633e-003
1.02757617043336e-002	2.20710653923169e-003,-5.35093162215940e-003
1.02802712331306e-002	2.21143618346921e-003,-5.35921635378110e-003
1.02847827409391e-002	2.21577328043434e-003,-5.36751460210792e-003
1.02892962286275e-002	2.22011784168494e-003,-5.37582639032766e-003
1.02938116970647e-002	2.22446987879410e-003,-5.38415174166978e-003
1.02983291471199e-002	2.22882940335056e-003,-5.39249067940495e-003
1.03028485796629e-002	2.23319642695863e-003,-5.40084322684519e-003
1.03073699955635e-002	2.23757096123798e-003,-5.40920940734435e-003
1.03118933956923e-002	2.24195301782361e-003,-5.41758924429808e-003
1.03164187809200e-002	2.24634260836643e-003,-5.42598276114325e-003
1.03209461521177e-002	2.25073974453240e-003,-5.43438998135921e-003
1.03254755101570e-002	2.25514443800337e-003,-5.44281092846676e-003
1.03300068559098e-002	2.25955670047664e-003,-5.45124562602878e-003
1.03345401902485e-002	2.26397654366517e-003,-5.45969409765011e-003
1.03390755140457e-002	2.26840397929720e-003,-5.46815636697802e-003
1.03436128281745e-002	2.27283901911699e-003,-5.47663245770153e-003
1.03481521335083e-002	2.27728167488392e-003,-5.48512239355251e-003
1.03526934309211e-002	2.28173195837345e-003,-5.49362619830463e-003
1.03572367212870e-002	2.28618988137639e-003,-5.50214389577439e-003
1.03617820054806e-002	2.29065545569956e-003,-5.51067550982025e-003
1.03663292843770e-002	2.29512869316486e-003,-5.51922106434407e-003
1.03708785588515e-002	2.29960960561047e-003,-5.52778058328965e-003
1.03754298297798e-002	2.30409820488976e-003,-5.53635409064406e-003
1.03799830980382e-002	2.30859450287208e-003,-5.54494161043690e-003
1.03845383645031e-002	2.31309851144273e-003,-5.55354316674050e-003
1.03890956300515e-002	2.31761024250215e-003,-5.56215878367066e-003
1.03936548955607e-002	2.32212970796691e-003,-5.57078848538597e-003
1.03982161619083e-002	2.32665691976948e-003,-5.57943229608792e-003
1.04027794299724e-002	2.33119188985783e-003,-5.58809024002156e-003
1.04073447006315e-002	2.33573463019569e-003,-5.59676234147522e-003
1.04119119747644e-002	2.34028515276290e-003,-5.60544862478031e-003
1.04164812532503e-002	2.34484346955486e-003,-5.61414911431196e-003
1.04210525369689e-002	2.34940959258286e-003,-5.62286383448872e-003
1.04256258268002e-002	2.35398353387410e-003,-5.63159280977274e-003
1.04302011236245e-002	2.35856530547152e-003,-5.64033606466998e-003
1.04347784283225e-002	2.36315491943405e-003,-5.64909362372997e-003
1.04393577417756e-002	2.36775238783682e-003,-5.65786551154583e-003
1.04439390648652e-002	2.37235772276998e-003,-5.66665175275554e-003
1.04485223984732e-002	2.37697093634037e-003,-5.67545237204025e-003
1.04531077434820e-002	2.38159204067054e-003,-5.68426739412537e-003
1.04576951007742e-002	2.38622104789913e-003,-5.69309684378043e-003
1.04622844712330e-002	2.39085797018025e-003,-5.70194074581962e-003
1.04668758557418e-002	2.39550281968468e-003,-5.71079912510079e-003
1.04714692551846e-002	2.40015560859857e-003,-5.71967200652683e-003
1.04760646704455e-002	2.40481634912432e-003,-5.72855941504482e-003
1.04806621024092e-002	2.40948505348052e-003,-5.73746137564624e-003
1.04852615519607e-002	2.41416173390141e-003,-5.74637791336768e-003
1.04898630199855e-002	2.41884640263765e-003,-5.75530905328993e-003
1.04944665073694e-002	2.42353907195584e-003,-5.76425482053881e-003
1.04990720149985e-002	2.42823975413825e-003,-5.77321524028548e-003
1.05036795437595e-002	2.43294846148398e-003,-5.78219033774517e-003
1.05082890945393e-002	2.43766520630772e-003,-5.79118013817870e-003
1.05129006682253e-002	2.44239000094015e-003,-5.80018466689241e-003
1.05175142657052e-002	2.44712285772839e-003,-5.80920394923725e-003
1.05221298878673e-002	2.45186378903591e-003,-5.81823801060926e-003
1.05267475355999e-002	2.45661280724184e-003,-5.82728687645055e-003
1.05313672097921e-002	2.46136992474134e-003,-5.83635057224876e-003
1.05359889113332e-002	2.46613515394661e-003,-5.84542912353610e-003
1.05406126411129e-002	2.47090850728516e-003,-5.85452255589148e-003
1.05452384000212e-002	2.47568999720092e-003,-5.86363089493923e-003
1.05498661889486e-002	2.48047963615465e-003,-5.87275416634870e-003
