Freq.	V(out)
1.01636641305731e-002	-2.29342762886588e-001,1.54102591085856e-001
1.01681244652324e-002	-2.29538425348800e-001,1.54209127595244e-001
1.01725867573142e-002	-2.29734249766628e-001,1.54315760831748e-001
1.01770510076775e-002	-2.29930236265415e-001,1.54422490900883e-001
1.01815172171818e-002	-2.30126384970586e-001,1.54529317908299e-001
1.01859853866869e-002	-2.30322696007645e-001,1.54636241959760e-001
1.01904555170528e-002	-2.30519169502181e-001,1.54743263161152e-001
1.01949276091401e-002	-2.30715805579862e-001,1.54850381618500e-001
1.01994016638097e-002	-2.30912604366440e-001,1.54957597437932e-001
1.02038776819229e-002	-2.31109565987746e-001,1.55064910725719e-001
1.02083556643413e-002	-2.31306690569693e-001,1.55172321588250e-001
1.02128356119270e-002	-2.31503978238278e-001,1.55279830132022e-001
1.02173175255424e-002	-2.31701429119577e-001,1.55387436463687e-001
1.02218014060503e-002	-2.31899043339751e-001,1.55495140690001e-001
1.02262872543139e-002	-2.32096821025039e-001,1.55602942917851e-001
1.02307750711966e-002	-2.32294762301762e-001,1.55710843254243e-001
1.02352648575625e-002	-2.32492867296328e-001,1.55818841806324e-001
1.02397566142759e-002	-2.32691136135220e-001,1.55926938681344e-001
1.02442503422014e-002	-2.32889568945007e-001,1.56035133986696e-001
1.02487460422041e-002	-2.33088165852339e-001,1.56143427829896e-001
1.02532437151495e-002	-2.33286926983947e-001,1.56251820318581e-001
1.02577433619034e-002	-2.33485852466645e-001,1.56360311560509e-001
1.02622449833319e-002	-2.33684942427329e-001,1.56468901663572e-001
1.02667485803018e-002	-2.33884196992975e-001,1.56577590735803e-001
1.02712541536799e-002	-2.34083616290643e-001,1.56686378885322e-001
1.02757617043336e-002	-2.34283200447476e-001,1.56795266220415e-001
1.02802712331306e-002	-2.34482949590695e-001,1.56904252849476e-001
1.02847827409391e-002	-2.34682863847607e-001,1.57013338881027e-001
1.02892962286275e-002	-2.34882943345600e-001,1.57122524423709e-001
1.02938116970647e-002	-2.35083188212143e-001,1.57231809586317e-001
1.02983291471199e-002	-2.35283598574787e-001,1.57341194477743e-001
1.03028485796629e-002	-2.35484174561167e-001,1.57450679207026e-001
1.03073699955635e-002	-2.35684916298999e-001,1.57560263883315e-001
1.03118933956923e-002	-2.35885823916081e-001,1.57669948615914e-001
1.03164187809200e-002	-2.36086897540294e-001,1.57779733514222e-001
1.03209461521177e-002	-2.36288137299600e-001,1.57889618687792e-001
1.03254755101570e-002	-2.36489543322044e-001,1.57999604246295e-001
1.03300068559098e-002	-2.36691115735754e-001,1.58109690299527e-001
1.03345401902485e-002	-2.36892854668939e-001,1.58219876957417e-001
1.03390755140457e-002	-2.37094760249891e-001,1.58330164330025e-001
1.03436128281745e-002	-2.37296832606985e-001,1.58440552527527e-001
1.03481521335083e-002	-2.37499071868676e-001,1.58551041660254e-001
1.03526934309211e-002	-2.37701478163504e-001,1.58661631838639e-001
1.03572367212870e-002	-2.37904051620090e-001,1.58772323173255e-001
1.03617820054806e-002	-2.38106792367138e-001,1.58883115774804e-001
1.03663292843770e-002	-2.38309700533434e-001,1.58994009754112e-001
1.03708785588515e-002	-2.38512776247847e-001,1.59105005222149e-001
1.03754298297798e-002	-2.38716019639328e-001,1.59216102290006e-001
1.03799830980382e-002	-2.38919430836911e-001,1.59327301068903e-001
1.03845383645031e-002	-2.39123009969713e-001,1.59438601670177e-001
1.03890956300515e-002	-2.39326757166931e-001,1.59550004205329e-001
1.03936548955607e-002	-2.39530672557847e-001,1.59661508785966e-001
1.03982161619083e-002	-2.39734756271826e-001,1.59773115523822e-001
1.04027794299724e-002	-2.39939008438314e-001,1.59884824530766e-001
1.04073447006315e-002	-2.40143429186841e-001,1.59996635918820e-001
1.04119119747644e-002	-2.40348018647017e-001,1.60108549800105e-001
1.04164812532503e-002	-2.40552776948538e-001,1.60220566286887e-001
1.04210525369689e-002	-2.40757704221182e-001,1.60332685491570e-001
1.04256258268002e-002	-2.40962800594808e-001,1.60444907526676e-001
1.04302011236245e-002	-2.41168066199359e-001,1.60557232504871e-001
1.04347784283225e-002	-2.41373501164860e-001,1.60669660538946e-001
1.04393577417756e-002	-2.41579105621422e-001,1.60782191741806e-001
1.04439390648652e-002	-2.41784879699233e-001,1.60894826226537e-001
1.04485223984732e-002	-2.41990823528569e-001,1.61007564106307e-001
