time	V(in)	V(out)
1.508877646394811e-003	1.000000000000000e+000	2.870796841313737e+001
1.508977646394811e-003	1.000000000000000e+000	2.870795922940003e+001
1.509077646394811e-003	1.000000000000000e+000	2.870795025761981e+001
1.509177646394811e-003	1.000000000000000e+000	2.870794148896279e+001
1.509277646394811e-003	1.000000000000000e+000	2.870793291583559e+001
1.509377646394811e-003	1.000000000000000e+000	2.870792453008344e+001
1.509477646394811e-003	1.000000000000000e+000	2.870791632470175e+001
1.509577646394811e-003	1.000000000000000e+000	2.870790829216705e+001
1.509677646394811e-003	1.000000000000000e+000	2.870790042601632e+001
1.509777646394811e-003	1.000000000000000e+000	2.870789271930877e+001
1.509877646394811e-003	1.000000000000000e+000	2.870788516608210e+001
1.509977646394811e-003	1.000000000000000e+000	2.870787775993343e+001
1.510077646394811e-003	1.000000000000000e+000	2.870787049536111e+001
1.510177646394811e-003	1.000000000000000e+000	2.870786336645872e+001
1.510277646394811e-003	1.000000000000000e+000	2.870785636814810e+001
1.510377646394811e-003	1.000000000000000e+000	2.870784949498211e+001
1.510477646394811e-003	1.000000000000000e+000	2.870784274227719e+001
1.510577646394811e-003	1.000000000000000e+000	2.870783610500956e+001
1.510677646394811e-003	1.000000000000000e+000	2.870782957885616e+001
1.510777646394811e-003	1.000000000000000e+000	2.870782315918162e+001
1.510877646394811e-003	1.000000000000000e+000	2.870781684199772e+001
1.510977646394811e-003	1.000000000000000e+000	2.870781062303072e+001
1.511077646394811e-003	1.000000000000000e+000	2.870780449860223e+001
1.511177646394811e-003	1.000000000000000e+000	2.870779846476771e+001
1.511277646394811e-003	1.000000000000000e+000	2.870779251813284e+001
1.511377646394811e-003	1.000000000000000e+000	2.870778665506073e+001
1.511477646394811e-003	1.000000000000000e+000	2.870778087242089e+001
1.511577646394811e-003	1.000000000000000e+000	2.870777516685737e+001
1.511677646394811e-003	1.000000000000000e+000	2.870776953548279e+001
1.511777646394811e-003	1.000000000000000e+000	2.870776397520152e+001
1.511877646394811e-003	1.000000000000000e+000	2.870775848335043e+001
1.511977646394811e-003	1.000000000000000e+000	2.870775305707348e+001
1.512077646394811e-003	1.000000000000000e+000	2.870774769391404e+001
1.512177646394811e-003	1.000000000000000e+000	2.870774239123745e+001
1.512277646394811e-003	1.000000000000000e+000	2.870773714677917e+001
1.512377646394811e-003	1.000000000000000e+000	2.870773195810747e+001
1.512477646394811e-003	1.000000000000000e+000	2.870772682313320e+001
1.512577646394811e-003	1.000000000000000e+000	2.870772173961426e+001
1.512677646394811e-003	1.000000000000000e+000	2.870771670562456e+001
1.512777646394811e-003	1.000000000000000e+000	2.870771171909413e+001
1.512877646394811e-003	1.000000000000000e+000	2.870770677824611e+001
1.512977646394811e-003	1.000000000000000e+000	2.870770188117134e+001
1.513077646394811e-003	1.000000000000000e+000	2.870769702623355e+001
1.513177646394811e-003	1.000000000000000e+000	2.870769221167079e+001
1.513277646394811e-003	1.000000000000000e+000	2.870768743597214e+001
1.513377646394811e-003	1.000000000000000e+000	2.870768269751195e+001
1.513477646394811e-003	1.000000000000000e+000	2.870767799489847e+001
1.513577646394811e-003	1.000000000000000e+000	2.870767332663117e+001
1.513677646394811e-003	1.000000000000000e+000	2.870766869142606e+001
1.513777646394811e-003	1.000000000000000e+000	2.870766408789935e+001
1.513877646394811e-003	1.000000000000000e+000	2.870765951486902e+001
1.513977646394811e-003	1.000000000000000e+000	2.870765497105787e+001
1.514077646394811e-003	1.000000000000000e+000	2.870765045537472e+001
1.514177646394811e-003	1.000000000000000e+000	2.870764596664008e+001
