Freq.	V(vout)
1.07398941234124e+002	-2.27388438015909e+002,5.31440803334641e+000
1.07646521362983e+002	-2.27386186446537e+002,5.38453659327794e+000
1.07894672222983e+002	-2.27383885063380e+002,5.45469210153438e+000
1.08143395129794e+002	-2.27381533817799e+002,5.52487487493062e+000
1.08392691402120e+002	-2.27379132663286e+002,5.59508523042676e+000
1.08642562361706e+002	-2.27376681550262e+002,5.66532348505608e+000
1.08893009333343e+002	-2.27374180428795e+002,5.73558995590429e+000
1.09144033644875e+002	-2.27371629247728e+002,5.80588496006145e+000
1.09395636627209e+002	-2.27369027955165e+002,5.87620881481675e+000
1.09647819614318e+002	-2.27366376500105e+002,5.94656183744569e+000
1.09900583943252e+002	-2.27363674825110e+002,6.01694434515149e+000
1.10153930954141e+002	-2.27360922879382e+002,6.08735665551754e+000
1.10407861990207e+002	-2.27358120605230e+002,6.15779908597472e+000
1.10662378397766e+002	-2.27355267945119e+002,6.22827195394084e+000
1.10917481526240e+002	-2.27352364843460e+002,6.29877557714833e+000
1.11173172728159e+002	-2.27349411238774e+002,6.36931027310539e+000
1.11429453359173e+002	-2.27346407074559e+002,6.43987635975711e+000
1.11686324778056e+002	-2.27343352287276e+002,6.51047415457998e+000
1.11943788346715e+002	-2.27340246815793e+002,6.58110397553506e+000
1.12201845430196e+002	-2.27337090598314e+002,6.65176614049941e+000
1.12460497396692e+002	-2.27333883571031e+002,6.72246096743276e+000
1.12719745617551e+002	-2.27330625669066e+002,6.79318877434459e+000
1.12979591467279e+002	-2.27327316827158e+002,6.86394987922237e+000
1.13240036323555e+002	-2.27323956977180e+002,6.93474460009537e+000
1.13501081567231e+002	-2.27320546052753e+002,7.00557325523236e+000
1.13762728582343e+002	-2.27317083984242e+002,7.07643616275150e+000
1.14024978756117e+002	-2.27313570703624e+002,7.14733364102632e+000
1.14287833478977e+002	-2.27310006138917e+002,7.21826600825043e+000
1.14551294144553e+002	-2.27306390218636e+002,7.28923358283856e+000
1.14815362149688e+002	-2.27302722870061e+002,7.36023668307624e+000
1.15080038894443e+002	-2.27299004020479e+002,7.43127562748514e+000
1.15345325782109e+002	-2.27295233593369e+002,7.50235073458762e+000
1.15611224219209e+002	-2.27291411514825e+002,7.57346232287206e+000
1.15877735615512e+002	-2.27287537706142e+002,7.64461071079788e+000
1.16144861384034e+002	-2.27283612091959e+002,7.71579621721361e+000
1.16412602941049e+002	-2.27279634592179e+002,7.78701916066192e+000
1.16680961706096e+002	-2.27275605127059e+002,7.85827985974082e+000
1.16949939101987e+002	-2.27271523616832e+002,7.92957863341092e+000
1.17219536554813e+002	-2.27267389978590e+002,8.00091580030552e+000
1.17489755493952e+002	-2.27263204129564e+002,8.07229167925276e+000
1.17760597352080e+002	-2.27258965987034e+002,8.14370658913466e+000
1.18032063565172e+002	-2.27254675465425e+002,8.21516084885919e+000
1.18304155572516e+002	-2.27250332478011e+002,8.28665477731284e+000
1.18576874816716e+002	-2.27245936940770e+002,8.35818869356019e+000
1.18850222743701e+002	-2.27241488762795e+002,8.42976291640458e+000
1.19124200802737e+002	-2.27236987856576e+002,8.50137776503873e+000
1.19398810446427e+002	-2.27232434132161e+002,8.57303355848321e+000
1.19674053130724e+002	-2.27227827498479e+002,8.64473061582467e+000
1.19949930314937e+002	-2.27223167863612e+002,8.71646925610741e+000
1.20226443461741e+002	-2.27218455133679e+002,8.78824979849924e+000
1.20503594037179e+002	-2.27213689215795e+002,8.86007256223477e+000
1.20781383510677e+002	-2.27208870015145e+002,8.93193786658783e+000
1.21059813355048e+002	-2.27203997433604e+002,9.00384603048589e+000
1.21338885046497e+002	-2.27199071376386e+002,9.07579737351830e+000
1.21618600064636e+002	-2.27194091744271e+002,9.14779221474454e+000
1.21898959892486e+002	-2.27189058437034e+002,9.21983087341841e+000
1.22179966016487e+002	-2.27183971356197e+002,9.29191366903959e+000
1.22461619926504e+002	-2.27178830399903e+002,9.36404092083516e+000
1.22743923115840e+002	-2.27173635465474e+002,9.43621294815568e+000
1.23026877081238e+002	-2.27168386448578e+002,9.50843007026907e+000
1.23310483322890e+002	-2.27163083246876e+002,9.58069260675780e+000
1.23594743344450e+002	-2.27157725753140e+002,9.65300087682826e+000
