Freq.	V(vin)/-I(Vg)
1.21898959892486e-002	1.06898526856891e+005,-5.93662280468403e+006
1.22179966016487e-002	1.06897800453528e+005,-5.92297783034678e+006
1.22461619926504e-002	1.06897070740746e+005,-5.90936425851041e+006
1.22743923115840e-002	1.06896337703662e+005,-5.89578201699342e+006
1.23026877081238e-002	1.06895601327349e+005,-5.88223103378043e+006
1.23310483322890e-002	1.06894861596799e+005,-5.86871123702173e+006
1.23594743344450e-002	1.06894118496928e+005,-5.85522255503296e+006
1.23879658653036e-002	1.06893372012601e+005,-5.84176491629468e+006
1.24165230759240e-002	1.06892622128613e+005,-5.82833824945203e+006
1.24451461177138e-002	1.06891868829694e+005,-5.81494248331431e+006
1.24738351424294e-002	1.06891112100528e+005,-5.80157754685467e+006
1.25025903021771e-002	1.06890351925661e+005,-5.78824336920963e+006
1.25314117494141e-002	1.06889588289664e+005,-5.77493987967883e+006
1.25602996369487e-002	1.06888821176983e+005,-5.76166700772453e+006
1.25892541179416e-002	1.06888050572008e+005,-5.74842468297133e+006
1.26182753459066e-002	1.06887276459065e+005,-5.73521283520575e+006
1.26473634747114e-002	1.06886498822409e+005,-5.72203139437586e+006
1.26765186585784e-002	1.06885717646241e+005,-5.70888029059094e+006
1.27057410520853e-002	1.06884932914665e+005,-5.69575945412108e+006
1.27350308101665e-002	1.06884144611745e+005,-5.68266881539680e+006
1.27643880881134e-002	1.06883352721442e+005,-5.66960830500870e+006
1.27938130415752e-002	1.06882557227675e+005,-5.65657785370712e+006
1.28233058265601e-002	1.06881758114294e+005,-5.64357739240170e+006
1.28528665994361e-002	1.06880955365062e+005,-5.63060685216109e+006
1.28824955169313e-002	1.06880148963692e+005,-5.61766616421252e+006
1.29121927361353e-002	1.06879338893769e+005,-5.60475525994150e+006
1.29419584144998e-002	1.06878525138911e+005,-5.59187407089139e+006
1.29717927098395e-002	1.06877707682567e+005,-5.57902252876309e+006
1.30016957803328e-002	1.06876886508153e+005,-5.56620056541463e+006
1.30316677845229e-002	1.06876061599036e+005,-5.55340811286086e+006
1.30617088813183e-002	1.06875232938458e+005,-5.54064510327305e+006
1.30918192299940e-002	1.06874400509632e+005,-5.52791146897856e+006
1.31219989901920e-002	1.06873564295685e+005,-5.51520714246044e+006
1.31522483219223e-002	1.06872724279657e+005,-5.50253205635711e+006
1.31825673855640e-002	1.06871880444535e+005,-5.48988614346200e+006
1.32129563418657e-002	1.06871032773234e+005,-5.47726933672316e+006
1.32434153519466e-002	1.06870181248568e+005,-5.46468156924294e+006
1.32739445772973e-002	1.06869325853299e+005,-5.45212277427762e+006
1.33045441797808e-002	1.06868466570107e+005,-5.43959288523706e+006
1.33352143216332e-002	1.06867603381597e+005,-5.42709183568434e+006
1.33659551654643e-002	1.06866736270299e+005,-5.41461955933543e+006
1.33967668742593e-002	1.06865865218671e+005,-5.40217599005879e+006
1.34276496113786e-002	1.06864990209103e+005,-5.38976106187507e+006
1.34586035405594e-002	1.06864111223890e+005,-5.37737470895675e+006
1.34896288259164e-002	1.06863228245254e+005,-5.36501686562775e+006
1.35207256319427e-002	1.06862341255367e+005,-5.35268746636314e+006
1.35518941235103e-002	1.06861450236266e+005,-5.34038644578875e+006
1.35831344658714e-002	1.06860555169993e+005,-5.32811373868085e+006
1.36144468246594e-002	1.06859656038415e+005,-5.31586927996577e+006
1.36458313658892e-002	1.06858752823420e+005,-5.30365300471960e+006
1.36772882559584e-002	1.06857845506739e+005,-5.29146484816780e+006
1.37088176616484e-002	1.06856934070055e+005,-5.27930474568491e+006
1.37404197501251e-002	1.06856018494997e+005,-5.26717263279414e+006
1.37720946889394e-002	1.06855098763056e+005,-5.25506844516709e+006
1.38038426460288e-002	1.06854174855716e+005,-5.24299211862337e+006
