Freq.	V(vout)
1.15080038894443e-002	-1.31049188748376e-003,1.68743625043066e-002
1.15345325782109e-002	-1.31653361861417e-003,1.69134240443141e-002
1.15611224219210e-002	-1.32260317063026e-003,1.69525767495680e-002
1.15877735615512e-002	-1.32870067133529e-003,1.69918208378934e-002
1.16144861384034e-002	-1.33482624911953e-003,1.70311565277378e-002
1.16412602941049e-002	-1.34098003295983e-003,1.70705840380922e-002
1.16680961706096e-002	-1.34716215242122e-003,1.71101035884376e-002
1.16949939101987e-002	-1.35337273766363e-003,1.71497153988513e-002
1.17219536554813e-002	-1.35961191944262e-003,1.71894196900597e-002
1.17489755493953e-002	-1.36587982910532e-003,1.72292166832265e-002
1.17760597352080e-002	-1.37217659860694e-003,1.72691066001378e-002
1.18032063565173e-002	-1.37850236050001e-003,1.73090896631762e-002
1.18304155572516e-002	-1.38485724794724e-003,1.73491660951879e-002
1.18576874816716e-002	-1.39124139471653e-003,1.73893361197211e-002
1.18850222743701e-002	-1.39765493519093e-003,1.74295999608144e-002
1.19124200802737e-002	-1.40409800436031e-003,1.74699578431025e-002
1.19398810446427e-002	-1.41057073784044e-003,1.75104099917765e-002
1.19674053130724e-002	-1.41707327186309e-003,1.75509566325972e-002
1.19949930314937e-002	-1.42360574327924e-003,1.75915979920144e-002
1.20226443461741e-002	-1.43016828957036e-003,1.76323342968884e-002
1.20503594037179e-002	-1.43676104884256e-003,1.76731657747554e-002
1.20781383510677e-002	-1.44338415983530e-003,1.77140926537477e-002
1.21059813355048e-002	-1.45003776191930e-003,1.77551151625141e-002
1.21338885046497e-002	-1.45672199510527e-003,1.77962335303661e-002
1.21618600064636e-002	-1.46343700003890e-003,1.78374479871848e-002
1.21898959892486e-002	-1.47018291801331e-003,1.78787587634207e-002
1.22179966016487e-002	-1.47695989096285e-003,1.79201660900812e-002
1.22461619926504e-002	-1.48376806147545e-003,1.79616701989021e-002
1.22743923115840e-002	-1.49060757278238e-003,1.80032713220165e-002
1.23026877081238e-002	-1.49747856877635e-003,1.80449696923395e-002
1.23310483322890e-002	-1.50438119400291e-003,1.80867655433159e-002
1.23594743344450e-002	-1.51131559367033e-003,1.81286591089470e-002
1.23879658653036e-002	-1.51828191364878e-003,1.81706506238832e-002
1.24165230759240e-002	-1.52528030047325e-003,1.82127403233845e-002
1.24451461177138e-002	-1.53231090135016e-003,1.82549284433201e-002
1.24738351424294e-002	-1.53937386415652e-003,1.82972152201556e-002
1.25025903021771e-002	-1.54646933744492e-003,1.83396008909791e-002
1.25314117494141e-002	-1.55359747044599e-003,1.83820856934086e-002
1.25602996369487e-002	-1.56075841307173e-003,1.84246698658306e-002
1.25892541179416e-002	-1.56795231591716e-003,1.84673536471352e-002
1.26182753459066e-002	-1.57517933026612e-003,1.85101372768215e-002
1.26473634747114e-002	-1.58243960809623e-003,1.85530209950648e-002
1.26765186585784e-002	-1.58973330207226e-003,1.85960050427288e-002
1.27057410520853e-002	-1.59706056555774e-003,1.86390896610749e-002
1.27350308101665e-002	-1.60442155262158e-003,1.86822750922389e-002
1.27643880881134e-002	-1.61181641802562e-003,1.87255615788733e-002
1.27938130415752e-002	-1.61924531724703e-003,1.87689493642133e-002
1.28233058265601e-002	-1.62670840647001e-003,1.88124386921437e-002
1.28528665994361e-002	-1.63420584258577e-003,1.88560298073039e-002
