time	V(vout)
9.102563967024474e-001	-5.807709e-003
9.204963967024008e-001	-5.694533e-003
9.307363967023542e-001	-5.588124e-003
9.409763967023076e-001	-5.488070e-003
9.512163967022610e-001	-5.393981e-003
9.614563967022144e-001	-5.305493e-003
9.716963967021678e-001	-5.222263e-003
9.819363967021212e-001	-5.143969e-003
9.921763967020746e-001	-5.070310e-003
1.002416396702055e+000	-5.001001e-003
1.012656396702122e+000	-4.935776e-003
1.022896396702189e+000	-4.874386e-003
1.033136396702256e+000	-4.816595e-003
1.043376396702323e+000	-4.762184e-003
1.053616396702390e+000	-4.710946e-003
1.063856396702457e+000	-4.662686e-003
1.074096396702524e+000	-4.617222e-003
1.084336396702591e+000	-4.574384e-003
1.094576396702659e+000	-4.534010e-003
1.104816396702726e+000	-4.495951e-003
1.115056396702793e+000	-4.460065e-003
1.125296396702860e+000	-4.426219e-003
1.135536396702927e+000	-4.394288e-003
1.145776396702994e+000	-4.364157e-003
1.156016396703061e+000	-4.335715e-003
1.166256396703128e+000	-4.308858e-003
1.176496396703195e+000	-4.283492e-003
1.186736396703262e+000	-4.259526e-003
1.196976396703329e+000	-4.236873e-003
1.207216396703396e+000	-4.215455e-003
1.217456396703464e+000	-4.195197e-003
1.227696396703531e+000	-4.176028e-003
1.237936396703598e+000	-4.157882e-003
1.248176396703665e+000	-4.140697e-003
1.258416396703732e+000	-4.124417e-003
1.268656396703799e+000	-4.108985e-003
1.278896396703866e+000	-4.094352e-003
1.289136396703933e+000	-4.080468e-003
1.299376396704000e+000	-4.067289e-003
1.309616396704067e+000	-4.054773e-003
1.319856396704134e+000	-4.042880e-003
1.330096396704201e+000	-4.031572e-003
1.340336396704269e+000	-4.020816e-003
1.350576396704336e+000	-4.010578e-003
1.360816396704403e+000	-4.000828e-003
1.371056396704470e+000	-3.991535e-003
1.381296396704537e+000	-3.982675e-003
1.391536396704604e+000	-3.974221e-003
1.401776396704671e+000	-3.966148e-003
1.412016396704738e+000	-3.958436e-003
1.422256396704805e+000	-3.951062e-003
1.432496396704872e+000	-3.944008e-003
1.442736396704939e+000	-3.937254e-003
1.452976396705006e+000	-3.930784e-003
1.463216396705074e+000	-3.924580e-003
1.473456396705141e+000	-3.918628e-003
1.483696396705208e+000	-3.912914e-003
1.493936396705275e+000	-3.907423e-003
1.500996749463853e+000	-3.903750e-003
1.501000001000000e+000	-1.069363e-001
1.501000802867762e+000	-2.879069e-001
1.501001586649162e+000	-5.948284e-001
1.501001964667716e+000	-7.121860e-001
1.501002418258946e+000	-7.999296e-001
1.501002867884199e+000	-8.602467e-001
1.501003417304036e+000	-9.092389e-001
1.501003978303286e+000	-9.409122e-001
1.501004769805980e+000	-9.670981e-001
1.501005535154117e+000	-9.807729e-001
1.501006687369378e+000	-9.903755e-001
1.501007839062498e+000	-9.944649e-001
1.501009529150744e+000	-9.963446e-001
1.501011370448896e+000	-9.968641e-001
1.501013897501349e+000	-9.969207e-001
1.501016903479474e+000	-9.968668e-001
1.501020776424326e+000	-9.967796e-001
1.501025661791057e+000	-9.966703e-001
1.501031793266195e+000	-9.965330e-001
1.501039642149325e+000	-9.963574e-001
1.501069533568343e+000	-9.956890e-001
1.502619533568353e+000	-9.615096e-001
1.502639533568353e+000	-9.609662e-001
1.502659533568353e+000	-9.606416e-001
1.502679533568353e+000	-9.600618e-001
1.503989533568362e+000	-9.320827e-001
1.505450962139800e+000	-9.017100e-001
1.506912390711238e+000	-8.721123e-001
1.508373819282676e+000	-8.432896e-001
1.509835247854115e+000	-8.152418e-001
1.511296676425553e+000	-7.879689e-001
1.512758104996991e+000	-7.614710e-001
1.514219533568429e+000	-7.357481e-001
1.514229533568429e+000	-7.355742e-001
1.515690962139867e+000	-7.105707e-001
1.517152390711305e+000	-6.862172e-001
1.518613819282743e+000	-6.625137e-001
1.520075247854182e+000	-6.394603e-001
1.521536676425620e+000	-6.170570e-001
1.522998104997058e+000	-5.953037e-001
1.524459533568496e+000	-5.742005e-001
1.524469533568496e+000	-5.740579e-001
1.525313819282787e+000	-5.621212e-001
1.526158104997079e+000	-5.503713e-001
1.527002390711370e+000	-5.388084e-001
1.527846676425661e+000	-5.274323e-001
1.528690962139952e+000	-5.162431e-001
1.529535247854244e+000	-5.052407e-001
1.530379533568535e+000	-4.944253e-001
1.530996676425682e+000	-4.866290e-001
1.531613819282829e+000	-4.789236e-001
1.532230962139975e+000	-4.713091e-001
1.532848104997123e+000	-4.637855e-001
1.533465247854269e+000	-4.563528e-001
1.534082390711416e+000	-4.490110e-001
1.534699533568563e+000	-4.417600e-001
1.534709533568563e+000	-4.416432e-001
1.535706676425713e+000	-4.301197e-001
1.536703819282862e+000	-4.188100e-001
1.537700962140011e+000	-4.077142e-001
