Freq.	V(vout)*exp(i*Pi)
1.36772882559584e-001	2.00583912162508e+001,7.66829642838630e-001
1.37088176616484e-001	2.00520354564995e+001,7.76256241599239e-001
1.37404197501250e-001	2.00456844606836e+001,7.85714104559198e-001
1.37720946889394e-001	2.00393382735154e+001,7.95203241486455e-001
1.38038426460287e-001	2.00329969394808e+001,8.04723662014640e-001
1.38356637897177e-001	2.00266605027662e+001,8.14275375639274e-001
1.38675582887188e-001	2.00203290072126e+001,8.23858391716530e-001
1.38995263121334e-001	2.00140024964591e+001,8.33472719478219e-001
1.39315680294529e-001	2.00076810138521e+001,8.43118368027063e-001
1.39636836105593e-001	2.00013646023890e+001,8.52795346332385e-001
1.39958732257261e-001	1.99950533048116e+001,8.62503663243479e-001
1.40281370456195e-001	1.99887471636204e+001,8.72243327491850e-001
1.40604752412990e-001	1.99824462209277e+001,8.82014347681266e-001
1.40928879842186e-001	1.99761505186302e+001,8.91816732305381e-001
1.41253754462274e-001	1.99698600982875e+001,9.01650489739934e-001
1.41579377995707e-001	1.99635750011854e+001,9.11515628250820e-001
1.41905752168908e-001	1.99572952682798e+001,9.21412155991846e-001
1.42232878712281e-001	1.99510209402703e+001,9.31340081014198e-001
1.42560759360218e-001	1.99447520575302e+001,9.41299411261700e-001
1.42889395851109e-001	1.99384886601499e+001,9.51290154579300e-001
1.43218789927353e-001	1.99322307878465e+001,9.61312318705017e-001
1.43548943335364e-001	1.99259784801366e+001,9.71365911291093e-001
1.43879857825583e-001	1.99197317761719e+001,9.81450939889661e-001
1.44211535152486e-001	1.99134907147474e+001,9.91567411956039e-001
1.44543977074591e-001	1.99072553344657e+001,1.00171533486896e+000
1.44877185354475e-001	1.99010256735210e+001,1.01189471591062e+000
1.45211161758773e-001	1.98948017698725e+001,1.02210556228712e+000
1.45545908058195e-001	1.98885836610726e+001,1.03234788111321e+000
1.45881426027534e-001	1.98823713844584e+001,1.04262167943623e+000
1.46217717445671e-001	1.98761649769682e+001,1.05292696421819e+000
1.46554784095590e-001	1.98699644752819e+001,1.06326374235399e+000
1.46892627764385e-001	1.98637699157377e+001,1.07363202066463e+000
1.47231250243271e-001	1.98575813343358e+001,1.08403180590142e+000
