Freq.	V(vout)/(I(Itest)-I(RL))
1.31522483219223e-002	3.46406442927086e-002,2.78907401246062e-002
1.31825673855640e-002	3.45965291467217e-002,2.79622218328173e-002
1.32129563418657e-002	3.45522141204271e-002,2.80339184874496e-002
1.32434153519466e-002	3.45076983271597e-002,2.81058309355986e-002
1.32739445772973e-002	3.44629808765661e-002,2.81779600288721e-002
1.33045441797808e-002	3.44180608744536e-002,2.82503066232118e-002
1.33352143216332e-002	3.43729374229529e-002,2.83228715791907e-002
1.33659551654643e-002	3.43276096203551e-002,2.83956557618255e-002
1.33967668742593e-002	3.42820765611408e-002,2.84686600406453e-002
1.34276496113786e-002	3.42363373360395e-002,2.85418852898282e-002
1.34586035405594e-002	3.41903910319288e-002,2.86153323881820e-002
1.34896288259164e-002	3.41442367318220e-002,2.86890022190235e-002
1.35207256319427e-002	3.40978735149135e-002,2.87628956704339e-002
1.35518941235103e-002	3.40513004565014e-002,2.88370136351297e-002
1.35831344658714e-002	3.40045166280209e-002,2.89113570105657e-002
1.36144468246594e-002	3.39575210969963e-002,2.89859266989066e-002
1.36458313658892e-002	3.39103129270840e-002,2.90607236072377e-002
1.36772882559584e-002	3.38628911780174e-002,2.91357486473887e-002
1.37088176616484e-002	3.38152549054820e-002,2.92110027358447e-002
1.37404197501251e-002	3.37674031614201e-002,2.92864867943726e-002
1.37720946889394e-002	3.37193349935400e-002,2.93622017490865e-002
1.38038426460288e-002	3.36710494458056e-002,2.94381485315399e-002
1.38356637897177e-002	3.36225455581142e-002,2.95143280780919e-002
1.38675582887188e-002	3.35738223662534e-002,2.95907413298834e-002
1.38995263121334e-002	3.35248789021632e-002,2.96673892334327e-002
1.39315680294529e-002	3.34757141935863e-002,2.97442727400235e-002
1.39636836105593e-002	3.34263272643290e-002,2.98213928062311e-002
1.39958732257261e-002	3.33767171340944e-002,2.98987503936952e-002
1.40281370456195e-002	3.33268828184666e-002,2.99763464691501e-002
1.40604752412990e-002	3.32768233289871e-002,3.00541820045993e-002
1.40928879842186e-002	3.32265376730686e-002,3.01322579772246e-002
1.41253754462274e-002	3.31760248540292e-002,3.02105753695611e-002
1.41579377995707e-002	3.31252838709743e-002,3.02891351692344e-002
1.41905752168908e-002	3.30743137189566e-002,3.03679383694194e-002
1.42232878712281e-002	3.30231133888420e-002,3.04469859686078e-002
1.42560759360218e-002	3.29716818672132e-002,3.05262789704861e-002
1.42889395851109e-002	3.29200181366109e-002,3.06058183844491e-002
1.43218789927353e-002	3.28681211752051e-002,3.06856052250392e-002
1.43548943335364e-002	3.28159899571091e-002,3.07656405126565e-002
1.43879857825583e-002	3.27636234520883e-002,3.08459252730001e-002
1.44211535152486e-002	3.27110206256862e-002,3.09264605373684e-002
1.44543977074592e-002	3.26581804391583e-002,3.10072473426839e-002
1.44877185354475e-002	3.26051018495322e-002,3.10882867315567e-002
1.45211161758773e-002	3.25517838094544e-002,3.11695797521367e-002
