time	-I(Rl)	V(vout)
2.002686907987108e-03	1.113285e+01	1.113285e-02
2.002763147768444e-03	1.091077e+01	1.091077e-02
2.002842847676991e-03	1.069116e+01	1.069116e-02
2.002929523071691e-03	1.046658e+01	1.046658e-02
2.003028473682432e-03	1.022694e+01	1.022694e-02
2.003162583799203e-03	9.924900e+00	9.924902e-03
2.003300051506209e-03	9.641483e+00	9.641484e-03
2.003554261859522e-03	9.174706e+00	9.174705e-03
2.003963640198039e-03	8.523301e+00	8.523301e-03
2.004522177423618e-03	7.770014e+00	7.770015e-03
2.005109555389192e-03	7.096415e+00	7.096415e-03
2.005593755777848e-03	6.634084e+00	6.634085e-03
2.005968006200995e-03	6.424839e+00	6.424840e-03
2.006189220988394e-03	6.522833e+00	6.522833e-03
2.006398480708486e-03	6.861013e+00	6.861013e-03
2.006510948199358e-03	7.099397e+00	7.099397e-03
2.006636643904035e-03	7.346870e+00	7.346871e-03
2.006740305197262e-03	7.516965e+00	7.516965e-03
2.006854619288265e-03	7.687088e+00	7.687089e-03
2.006962716907474e-03	7.843537e+00	7.843538e-03
2.007066892069061e-03	7.966222e+00	7.966223e-03
2.007176116898292e-03	8.017996e+00	8.017997e-03
2.007289870048596e-03	7.981767e+00	7.981768e-03
2.007349420261609e-03	7.935069e+00	7.935070e-03
2.007413939829868e-03	7.882536e+00	7.882537e-03
2.007485163884711e-03	7.844076e+00	7.844076e-03
2.007571099551409e-03	7.822218e+00	7.822218e-03
2.007648925781174e-03	7.809500e+00	7.809501e-03
2.007732464525521e-03	7.783186e+00	7.783187e-03
2.007816120276724e-03	7.737078e+00	7.737079e-03
2.007886694834986e-03	7.690104e+00	7.690104e-03
2.007969639003270e-03	7.640494e+00	7.640495e-03
2.008047661710567e-03	7.607120e+00	7.607121e-03
2.008133792110462e-03	7.580685e+00	7.580685e-03
2.008234595428105e-03	7.547222e+00	7.547223e-03
2.008329882188723e-03	7.504274e+00	7.504275e-03
2.008421731287273e-03	7.455966e+00	7.455966e-03
2.008530972217810e-03	7.402993e+00	7.402993e-03
2.008633663950330e-03	7.362891e+00	7.362892e-03
2.008745811229690e-03	7.322913e+00	7.322914e-03
2.008872951209442e-03	7.271284e+00	7.271285e-03
2.009007567660960e-03	7.211229e+00	7.211230e-03
2.009149681034255e-03	7.152003e+00	7.152003e-03
2.009292440035216e-03	7.098821e+00	7.098821e-03
2.009447991170584e-03	7.039873e+00	7.039874e-03
2.009613472367558e-03	6.973574e+00	6.973575e-03
2.009791379126550e-03	6.905237e+00	6.905237e-03
2.009979205183731e-03	6.837466e+00	6.837467e-03
2.010211297979859e-03	6.752996e+00	6.752997e-03
2.010426864261644e-03	6.675112e+00	6.675113e-03
2.010683832446717e-03	6.586752e+00	6.586753e-03
2.010989320214106e-03	6.483824e+00	6.483824e-03
2.011281582485857e-03	6.387434e+00	6.387435e-03
2.011642705516502e-03	6.273576e+00	6.273576e-03
2.012065315875884e-03	6.144521e+00	6.144521e-03
2.012470001315765e-03	6.025913e+00	6.025914e-03
2.012949081391467e-03	5.892335e+00	5.892336e-03
2.013505688089604e-03	5.744729e+00	5.744730e-03
2.014230252536997e-03	5.564173e+00	5.564173e-03
2.014894360340857e-03	5.409624e+00	5.409624e-03
2.015739632702855e-03	5.227338e+00	5.227339e-03
2.016558197317889e-03	5.064468e+00	5.064468e-03
2.017462137775808e-03	4.899812e+00	4.899812e-03
2.018461980651964e-03	4.734772e+00	4.734772e-03
2.019690415216031e-03	4.554626e+00	4.554627e-03
2.021421276274792e-03	4.329474e+00	4.329475e-03
2.022241627675961e-03	4.233370e+00	4.233370e-03
2.022386874326532e-03	4.217454e+00	4.217455e-03
2.022677367627675e-03	4.186439e+00	4.186439e-03
2.022923351559935e-03	4.160561e+00	4.160561e-03
2.023154218932513e-03	4.136585e+00	4.136586e-03
2.023338516683773e-03	4.117796e+00	4.117796e-03
